"id","content","content_en","content_fr","content_kr","content_scn","content_tcn","content_ina","content_thai"
456,"リュカ様……なぜ戦わないといけないんですか！？","Luka, why do I have to fight you?","Luka... Pourquoi devons-nous nous battre !?",,"鲁卡大人……为什么非要战斗不可呢！？","魯卡大人……為什麼非要戰鬥不可呢！？","Luka ...... kenapa harus bertarung ?","ท่านลูคา...ทำไมถึงต้องสู้ด้วยล่ะคะ?"
457,"かつて王国一と言われたその剣術奥義 、見せてもらおう","I would have you demonstrate these renowned fencing skills I hear about.","Fais-moi donc voir le fil de cette épée que l'on disait être la plus aguerrie de tout le royaume !","한때 왕국 최고의 검술의 비밀을 보여주지.","就让我见识一下，你那过去曾被誉为王国第一的剑术奥义吧。","就讓我見識一下，你那過去曾被譽為王國第一的劍術奧義吧。","Mari kita perlihatkan rahasia bermain pedang yang dulu menjadi no. 1 di kerajaan.","ขอชมฝีมือดาบที่ว่ากันว่าเป็นหนึ่งในอาณาจักรเป็นขวัญตาหน่อยเถอะ"
458,"小童にかまう暇はない","I don't have time to bother with a brat like you.","Je n'ai pas de temps à perdre avec toi, gamin.","풋내기를 상대할 여유 따윈 없다고.","我可没空理会小鬼。","我可沒空理會小鬼。","Aku tidak punya untuk memikirkanmu, anak kurang ngajar.","ข้าไม่มีเวลามาเล่นกับเด็กน้อยหรอกนะ"
459,"不吉な薔薇か。
ここで始末してくれる","Ominous flower. Let us settle this.","Une rose de mauvaise augure... Je vais en finir ici !","불길한 장미? 여기서 끝을 내줘","不祥的蔷薇。就在这里做个了断吧。","不祥的薔薇。就在這裡做個了斷吧。","Bunga mawar yang mengerikan. Akan ku habisi kau di sini.","ดอกกุหลาบที่โชคร้ายงั้นเหรอ ข้าจะทำให้มันจบไปตรงนี้ก็แล้วกัน"
460,"しぶとい女だ、
我が手でとどめを刺してくれる","Stubborn woman, I'll finish you by my own hand.","Quelle femme coriace, je vais devoir t'arrêter de mes propre mains.","끈질긴 여자군. 내 손에서 모든 걸 끝내주지.","真是难缠的女人，就让我亲手了结你吧！","真是難纏的女人，就讓我親手了結妳吧！","Wanita yang kuat. Dengan tanganku, akan ku serang kau dengan pukulan terakhir.","เป็นผู้หญิงที่ดื้อด้านจริงนะ ข้าจะหยุดเจ้าด้วยมือของข้าเองนี่แหละ"
461,"我が真意、
貴様にわかるものか","As if such as you could comprehend my true intent.","Tu ne peux pas comprendre pourquoi je fais ça.",,"我的本意，你岂会懂。","我的本意，妳豈會懂。","Kamu sudah tahu niat awalku.","แกจะมาเข้าใจอะไรข้า"
462,"恐れは乗り越えなければならぬ","You must overcome your fears.","Il va falloir vaincre la Peur.",,"恐惧是必须要克服的","恐懼是必須要克服的","Kita harus mengatasi ketakutan.","ต้องก้าวผ่านความกลัวไปให้ได้"
463,"互いの技、
どちらが上か見定めよう","Let's decide whose skills are greater.","On va voir maintenant qui de nous deux a le plus de puissance !",,"就让我们来看看究竟谁的技术比较高超吧。","就讓我們來看看究竟誰的技術比較高超吧。","Ayo kita pastikan, jurus yang mana yang lebih kuat.","มาลองดูกันว่าฝือมือใครจะเหนือกว่า"
464,"お前、どこかで……","I've seen you somewhere before...","Je t'ai déjà vu quelque part...",,"你，好像在什么地方……","你，好像在什麼地方……","Kamu, berada dimana ......","เหมือนเคยเจอเธอที่ไหนมาก่อนนะ..."
465,"顔見知りに会えて嬉しいよ。
ここいらじゃ一人でね","So nice to see a familiar face! I was all alone out here.","Je suis si content te voir. Je suis tout seul par ici.",,"能遇到认识的人还真是高兴呢。来到这里之后就一直只有我一个人。","能遇到認識的人還真是高興呢。來到這裡之後就一直只有我一個人。","Aku senang kamu bisa mengenaliku. Kamu di sini sendirian ya.","ดีใจที่ได้เจอคนรู้จักนะ แต่จากนี้คงต้องเหลือคนใดคนหนึ่งแล้วล่ะ"
466,"おっと、懐かしいな","Oh, but this brings back memories.","Hey, ça fait longtemps.",,"唉呀，真是怀念啊。","唉呀，真是懷念啊。","Hmm,,jadi kangen","โอ๊ะ คิดถึงจังเลยนะ"
467,"帝國に仕える身なら、
我々に傅くのが礼儀","If you are a servant of the empire, serving us too is only polite.","Si tu sers loyalement l'Empire, tu dois te soumettre à mes ordres.",,"如果是效命于帝国之者，听从于我们才是该有的礼仪。","如果是效命於帝國之者，聽從於我們才是該有的禮儀。","Tata krama seandainya bekerja untuk kerajaan adalah kita harus melayani mereka.","หากเป็นผู้รับใช้อาณาจักรล่ะก็ เจ้าก็ควรรับใช้เราด้วย"
468,"我々は哀れみなど乗り越えたのだ ","We are beyond petty mercy.","Nous avons surmonté la pitié.",,"我们已经克服了哀伤。","我們已經克服了哀傷。","Kita mendapatkan belas kasihan.","พวกเราข้ามผ่านความเศร้าโศกมาแล้ว"
469,"遺志無き力など…
…何の価値もない","Power means nothing if you die obtaining it.","Sans espoir, la force n'a aucune valeur.",,"没有遗志的力量……根本毫无价值。","沒有遺志的力量……根本毫無價值。","Permintaan terakhir seperti tidak ada nilainya.","พลังที่ไร้ความประสงค์ของคนตายน่ะ...มันไร้ค่า"
470,"貴方と我々の違いはわずかだ。しかし…… ","You and I are not so different. If only...","Nous ne sommes pas si différents, et pourtant...",,"你跟我等其实并无大差。只是……","你跟我等其實並無大差。只是……","Hanya kamu dan kita saja yang berbeda. Akan tetapi ......","ความแตกต่างระหว่างแกกับพวกเรามันน้อยนิด ทว่า..."
471,"このマルセウスから
逃げられると思うな","Do not think you can escape the great Marseus.","Ne crois pas qu'il est possible d'échapper au puissant Marseus !",,"你认为能从我玛尔瑟斯的手中逃走吗？","你認為能從我瑪爾瑟斯的手中逃走嗎？","Aku tidak pernah berfikir akan lari darimu, Marseus.","อย่าคิดว่าจะหนีมาร์เซอุสผู้นี้พ้นนะ"
472,"美しい花もいつかは……","Even the most beautiful flower eventually falls...","Un jour, cette belle fleur aussi......",,"美丽的花朵总有一天也会……","美麗的花朵總有一天也會……","Bunga yang indah itu kapan datang ya ......","ต่อให้เป็นบุปผางาม แต่สักวันหนึ่ง..."
473,"メレン……あなたと戦うのは
つらいですね","Melen. Fighting you is going to be rough.","Mélen, je suis triste de devoir me battre contre toi.",,"梅伦……必须要跟你战斗真是让我难过。","梅倫……必須要跟你戰鬥真是讓我難過。","Melen, berperang dengan kamu itu sangat menyedihkan.","เมเลน...ฉันไม่อยากสู้กับเธอเลยนะ"
474,"ごきげんよう","Good night.","Adieu.",,"你好啊。","你好啊。","Hallo ...","สวัสดีครับ"
475,"鞭はいかがかな、探偵さん","Do you like whips, Detective?","Veux-tu goûter à la morsure de mon fouet, détective ?",,"侦探先生，要不要来几鞭呀？","偵探先生，要不要來幾鞭呀？","Bagaimana kalau aku menyerang duluan, detective.","รับแส้ไหมครับ คุณนักสืบ"
476,"ワシの剣技とどちらが上か、
試させてもらう","Now we'll see whose sword is sharper!","Je veux savoir qui est le plus fort de nous deux.",,"就让我来试试看，你我的剑技谁比较高吧。","就讓我來試試看，你我的劍技誰比較高吧。","Aku akan mencoba jurus pedangku mana yang lebih unggul.","มาลองกันดูว่าฝีมือดาบใครจะเหนือกว่า"
477,"スプラート、剣を引いてくれ。お前とは戦いたくない","Put away your sword, Sprout. I have no quarrel with you.","Sprout, retire ton épée, je n' ai pas envie de me battre contre toi.",,"史普拉多，放下你的剑。我不想跟你战斗。","史普拉多，放下你的劍。我不想跟你戰鬥。","Sprout, tarik kembali pedangmu. Aku tidak ingin bertarung denganmu.","ลดดาบลงซะสเปราท์ ข้าไม่อยากสู้กับเจ้า"
478,"王国を代表して、
あなたを誅する……","Servant of the King, prepare to be executed.","Au nom de Royaume, je vais vous punir...",,"我将代表王国，杀了你……","我將代表王國，殺了你……","Wakil kerajaan akan menghukum mati kamu ......","ข้าขอสังหารเจ้าในนามแห่งอาณาจักร..."
479,"どうしても戦うのですか、
エイダ","Do we really have to fight, Ada?","Faut-il vraiment se battre, Aida ?",,"艾妲，不管怎么样都要跟我战斗吗？","艾妲，不管怎麼樣都要跟我戰鬥嗎？","Bagaimanapun juga apakah kamu mau bertarung, Ada","ไม่ว่าอย่างไรก็จะสู้งั้นหรือขอรับ เอด้า"
480,"まさか、剣を交えることになるとはの","I never thought you and I would cross blades.","Je ne pensais pas avoir à me battre contre toi un jour...",,"没想到，我们会有兵戎相见的一天啊。","沒想到，我們會有兵戎相見的一天啊。","Benarkah, pedang itu akan di kombinasikan","ไม่คิดเลยว่าจะต้องมาประดาบกันแบบนี้"
481,"王国民同士が争って何になる？","What could cause loyal subjects to be at odds?","Qu'est-ce qu'une guerre civile pourrait bien apporter ?",,"王国人民之间互相战斗有什么好处？","王國人民之間互相戰鬥有什麼好處？","Bersaing sesama bangsa kerajaan, mau jadi apa ?","คนประเทศเดียวกันสู้กันแล้วได้อะไร?"
482,"パルモ……すまない","Palmo, I'm so sorry.","Pardonne-moi, Palmo.",,"帕茉……对不起。","帕茉……對不起。","Aku minta maaf, Palmo.","ขอโทษนะ...พาลโม"
483,"アスラ、お前だけは許せない","Asura, you'll not see mercy from me!","Je ne te pardonnerai jamais, Asura.",,"阿修罗，只有你我绝对不会原谅的！","阿修羅，只有你我絕對不會原諒的！","Asura, Aku tidak akan memaafkan kamu.","อาสึระ แกคนเดียวที่ข้าจะไม่ยกโทษให้"
484,"俺たちの戦いは終わってない","Our quarrel is not over.","Notre bataille n'est pas terminée.",,"我们之间的战斗还没有结束。","我們之間的戰鬥還沒有結束。","Pertempuran kita masih belum selesai.","การต่อสู้ของเรายังไม่จบ"
485,"ぜーんぶ茶番ね。
でもたのしければいいの","This is all sooo ridiculous. But fun!","Tout ceci n'était qu'une farce. Mais cela me va, tant qu'on y prend plaisir.",,"全~部都是闹剧呢。　不过只要开心就好了。","全~部都是鬧劇呢。　不過只要開心就好了。","Jadi, semua ini lelucon. Tapi, asalkan ini menarik, kenapa tidak.","ทั้งหมดนี่ก็แค่ละครจัดฉาก แต่แค่สนุกกับมันก็พอแล้ว"
486,"あははは、
なにまじになってんの？","Ha ha! Why so serious?","Hahaha, Qu'est-ce qui t'arrive à te prendre au sérieux soudainement ?",,"啊哈哈哈、你是在认真什么啊?","啊哈哈哈，你是在認真什麼啊?","hahahaha, jadi ini beneran ?","อะฮะๆๆ จะจริงจังทำไมล่ะ?"
487,"一緒に死んでみない？","Won't you die with me?","Et si on mourrait tous ensemble ?",,"想跟我一起死死看吗？","想跟我一起死死看嗎？","Mau mencoba mati bersamaku ?","มาตายด้วยกันไหม?"
488,"ねえ、アタシ死にたいから
殺してみてよ","Ha ha! Why so serious?","Tu sais, j'ai envie de mourir. Essaye donc de me tuer.",,"喂、我想死，所以杀我看看嘛。","喂，我想死，所以殺我看看嘛。","Hei, karna aku ingin mati, ayo coba bunuh aku.","นี่ ฉันอยากตายนะ ลองฆ่าฉันดูสิ"
489,"終わり終わり。
ぜーんぶ終わり","Hey I sort of want to die, you think you could kill me?","Fini, tout est fini !",,"结束了结束了。全~部都結束了。","結束了結束了。全~部都結束了。","Selesai, semuanya selesai.","จบกัน จบกัน จบกันให้หมด"
490,"殺したいくらい
かわいいわね","You're so cute I could kill you!","Tu es si mignonne que ça me donne envie de te tuer.",,"你真是可爱到我想杀死你耶。","你真是可愛到我想殺死你耶。","Sebegitu lucunya kamu, sampai aku ingin membunuhmu.","น่ารักซะจนอยากจะเชือดทิ้งเลยนะ"
491,"ふふふふふふふふふふふふふふふふふふふふふふふ","Heh heh heh.","Héhéhé",,"呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼","呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼呼","Hehehehe","ฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุฮุ"
492,"あはははははははははははははははははははは","Tee hee.","Hahahahaa",,"啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈","啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈","Hahahahaha","อะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะฮะ"
493,"正義はいつもボクの側にある","I always have righteousness on my side.","La justice est toujours de mon côté !",,"在我的身边永远有正义。","在我的身邊永遠有正義。","Selalu ada keadilan di sampingku","ฝ่ายผมมีความยุติธรรมสถิตย์อยู่แล้ว"
494,"悪人を見過ごすわけにはいかない","I can't afford to let a villain walk past unhindered.","Je ne peux pas laisser un vaurien s'échapper !",,"我是不可能放过坏人的。","我是不可能放過壞人的。","Kita tidak boleh membiarkan orang jahat itu pergi","ผมไม่อาจมองข้ามคนเลวได้"
495,"ボクはすべてを持ってる。だから責任を果たす","I protect everything. This is my duty.","J'ai toutes les cartes en main. C'est pourquoi je dois remplir ma mission.",,"我拥有一切，所以我要贯彻自己的责任。","我擁有一切，所以我要貫徹自己的責任。","Aku memiliki semuanya. Oleh karena itu aku akan menyelesaikan tanggung jawab ini.","ผมมีทุกอย่าง เพราะฉะนั้นจึงจะขอทำหน้าที่ให้ลุล่วง"
496,"間違いを正すためにボクはいる","I'm here to right what is wrong.","Je suis la pour rectifier votre erreur.",,"我的存在是为了矫正错误。","我的存在是為了矯正錯誤。","Aku ada untuk membetulkan yang salah.","ผมอยู่เพื่อแก้สิ่งผิดให้ถูกต้อง"
497,"正しさの証明は勝利で示してみせる！","Victory is proof of righteousness!","Je vous montrerai que j'ai raison en gagnant cette bataille !",,"我会用胜利来向你证明我的正确。","我會用勝利來向你證明我的正確。","Bukti yang benar akan kuperlihatkan dengan kemenangan.","จะแสดงความถูกต้องให้เห็นด้วยการต่อสู้นี่ล่ะ!"
498,"君は信頼できるタイプじゃないがその力は認めよう","You're not trustworthy, but I'll acknowledge your strength.","Je ne peux pas te faire confiance. Mais je reconnais ta puissance.",,"虽然你不是可以信赖的类型，但我认同你的力量。","雖然你不是可以信賴的類型，但我認同你的力量。","Kamu bukan tipe orang yang bisa dipercaya, tapi aku mengakui kekuatan itu.","ถึงเธอจะไม่น่าเชื่อใจเท่าไหร่ แต่จะขอชมพลังหน่อยล่ะ"
499,"あなたって最高に狂ってる、ほんとそう思うわ","I swear, you are actually completely crazy.","Je croix que tu as vraiment perdu la tête !",,"我真的觉得你是个最棒的疯子耶。","我真的覺得你是個最棒的瘋子耶。","Aku benar-benar berfikir bahwa kamu keluar sebagai urutan tertinggi.","เธอนี่บ้าคลั่งได้ใจจริงๆ"
500,"わたし、その……あれ、なんでこんなところに…","I, uh... What are you doing here?","Je suis... Euh, où suis-je... ?",,"我、那个……咦、为什么会在这里…","我，那個……咦，為什麼會在這裡…","Itu ...... Eh ! Kenapa aku berada ditempat seperti ini ...","ฉัน คือว่า...เอ๊ะ ทำไมถึงมาอยู่ที่นี่ได้..."
501,"えーと、すみません。戦闘は専門外で……","Um, excuse me. Combat's outside my area of expertise...","Veuillez m'excuser, je ne suis pas un soldat de métier...",,"那个、对不起。战斗不是我擅长的……","那個，對不起。戰鬥不是我擅長的……","Mmmmm, maaf. Kalau battle(bertempur) itu di luar kemampuanku.","เอ่อ ขอโทษนะคะ คือฉันไม่ถนัดการต่อสู้..."
502,"こんなの聞いてないよ……","I've never heard of anything like this...","Je n'ai jamais entendu parler de ça !",,"我没听说过会这样的啊……","我沒聽說過會這樣的啊……","Aku tidak pernah mendengar yang seperti itu ......","ไม่เห็นรู้มาก่อนเลย..."
503,"えーい、どうにでもなれ！","Well, such is life...","Ce qui sera, sera...",,"不管了，死马当活马医啦！","不管了，死馬當活馬醫啦！","Mau jadi apa, terserah !","โอ๊ย จะเป็นยังไงก็เป็นเถอะ!"
504,"私の科学力は無敵！……あー向いてない","MY SCIENTIFIC PROWESS IS UNRIVALLED! Oh, you weren't watching.","Je ne suis pas fait pour les champs de bataille...",,"我的科学力是无敌的！……啊、我果然还是不适合说这种话。","我的科學力是無敵的！……啊，我果然還是不適合說這種話。","Kekuatan ilmu pengetahuanku tak tertandingi ! ...... Aku tidak cocok","ความสามารถด้านวิทยาศาสตร์ของฉันไร้เทียมทาน! ...อ๊ะ ไม่เหมาะเลย"
505,"ア、アイン？　ちょっと、やめてよ貴方まで！","What, Ayn? Hey, stop that!","A... Ayn !? Arrête !",,"艾、艾茵？　等等、不要连你也这样！","艾，艾茵？　等等，不要連妳也這樣！","A, Ayn ? Tunggu, berhenti kamu !","อ...ไอน์? ไม่เอานะ แม้แต่เธอก็ด้วยเหรอ!"
506,"あ、すみません。すぐいなくなります","Ah, excuse me, I was just leaving.","Excusez-moi, je m'en vais tout de suite.",,"啊、抱歉。我马上就离开。","啊，抱歉。我馬上就離開。","Maaf, aku akan segera pergi.","อ๊ะ ขอโทษค่ะ เดี๋ยวฉันก็จะไม่อยู่แล้ว"
507,"こんなことに巻き込んでくれてほんとありがとう！","I really have to thank you for getting me involved in all of this.","Merci beaucoup de m'avoir mêlée à cette bataille !",,"把我卷入这种事，还真是谢谢你啊！","把我卷入這種事，還真是謝謝妳啊！","Sampai terlibat hal yang seperti ini, terima kasih.","ขอบคุณมากเลยนะคะที่ดึงฉันเข้ามาเอี่ยวด้วย!"
508,"なんだ、まだいたの。　せっかくだから楽しんで行ったら？","What, you're still here? Oh well, let's enjoy ourselves.","Hey, tu étais encore là ? Tu veux t'amuser un peu avant de repartir ?",,"怎么，你还在啊。　机会难得，好好享受如何？","怎麼，妳還在啊。　機會難得，好好享受如何？","Lhoh, kamu masih ada. Karena sudah bersusah payah bagaimana kalau kamu pergi ?","อะไรกัน ยังอยู่อีกเหรอ ไหนๆ ก็ไหนๆ ลองสนุกดูบ้างสิ"
509,"カタ、つけさせてもらおう","Allow me to clean up.","Je veux en finir.",,"就让我来收拾干净吧。","就讓我來收拾乾淨吧。","Aku mau mengakhiri ini semua.","จะเก็บกวาดเดี๋ยวนี้แหละ"
510,"三下に用はない","I have no use for such as you.","Je suis occupé.",,"我没事找你这罗喽。","我沒事找你這嘍囉。","Aku tidak ada perlu dengan bawahan","ข้าไม่มีธุระกับพวกขี้แพ้"
511,"会話に意味はねえ。死ね","Conversation is meaningless. Die, maggot.","Pas la peine de discuter. Disparais.",,"对话一点意义都没有，去死吧。","對話一點意義都沒有，去死吧。","Tidak ada gunanya bicara sama kamu. Matilah kau.","การพูดคุยไม่มีความหมาย ตายซะ"
512,"腐った世界じゃ、このやり方が一番てわけだ","The whole world is corrupt, so why fight it?","C'est la meilleure façon que j'ai trouvée dans ce monde pourri.",,"在这腐烂的世界，这种作法是最好的。","在這腐爛的世界，這種作法是最好的。","Dunia yang busuk, jadi artinya cara ini adalah yang paling bagus.","นี่แหละวิธีจัดการที่ดีที่สุดบนโลกที่เน่าเหม็นล่ะ"
513,"死んで見せくれよ。俺の前で","I'll see you dead at my feet.","Meurs donc devant moi !",,"你就死在我面前让我看看吧。","你就死在我面前讓我看看吧。","Akan kubunuh kau dihadapanku.","ตายต่อหน้าข้าให้ดูหน่อยสิ"
514,"どこまでも邪魔なガキだ","You're always in the way, kid.","Tu me gênes, gamin.",,"你不管到哪里都是碍事的小鬼啊。","你不管到哪裡都是礙事的小鬼啊。","Dimanapun kamu berada, kamu hanyalah anak pengganggu saja.","เจ้าเด็กตัวเกะกะ"
515,"化け物の正体はこんな子供だったとはな","So the real monster was just this tiny brat?","Le véritable monstre n'était qu'un gamin.",,"怪物的真实身分竟然是像你这样的小孩。","怪物的真實身分竟然是像你這樣的小孩。","Wujud asli goblin ternyata adalah anak kecil.","ไม่คิดเลยนะว่าตัวจริงของปิศาจจะเป็นแค่เด็ก"
516,"お前には手加減なしだ！","I won't go easy on you!","Je ne vais pas y aller de main morte parce que c'est toi !",,"对你我可不会手下留情的！","對你我可不會手下留情的！","Kamu tidak perlu dikasihani !","ไม่มีการออมมือให้แกเด็ดขาด!"
517,"これ以上俺に悪運は必要ないぜ","I don't need this.","Je n'ai plus besoin de cette malchance.",,"我不需要更多的恶运了。","我不需要更多的惡運了。","Aku tidak perlu kesialan lebih dari ini.","ข้าไม่โชคร้ายไปมากกว่านี้แล้วล่ะ"
518,"いいスーツね。似合ってるわ","Nice suit. It looks good on you.","C'est un beau costume ! Il te va bien !",,"这西装真不错，挺适合你的。","這西裝真不錯，挺適合你的。","Jasnya bagus, cocok sekali","สูทสวยนี่ ดูเหมาะดีนะ"
519,"花、死、林檎…","Flowers, death, apples...","Fleurs, Mort, Pommes...",,"花、死、苹果…","花，死，蘋果…","Bunga, kematian, apel ...","ดอกไม้ ความตาย แอปเปิ้ล..."
520,"この調べ、どこから聞こえてくるの？","Where's that music coming from...?","D'où provient cette musique ?",,"这个旋律，是从哪里传来的？","這個旋律，是從哪裡傳來的？","Melodi ini, dari mana datangnya ?","เสียงดนตรีนี่ได้ยินไปถึงไหนเหรอ?"
521,"ああ、またあの悪魔の声！　どこまで私を追い詰めるの？","Agh, that ghastly voice! When will it stop?!","Pfff, c'est encore la voix de ce Démon. Pourquoi ne me laisse-t-il pas tranquille ?",,"啊啊，又是那个恶魔的声音！　到底要逼我到什么地步？","啊啊，又是那個惡魔的聲音！　到底要逼我到什麼地步？","Ah, suara setan itu terdengar kembali ! Sampai mana kamu akan memojokkanku.","อา..เสียงปิศาจนั่นอีกแล้ว! จะตามฉันมาถึงเมื่อไหร่กัน!"
522,"ひどい痛み……。　お願い、誰か","It hurts... please, somebody...","J'ai mal... Aidez-moi !",,"好痛……。　拜讬，谁来救救我。","好痛……。　拜託，誰來救救我。","Sakit selai rasanya ...... Siapapun, tolong aku.","เจ็บเหลือเกิน...ขอร้องล่ะ ใครก็ได้"
523,"痛い、痛い、痛い、痛い…","Ow ow ow ow!","J'ai mal, si mal...",,"好痛，好痛，好痛，好痛…","好痛，好痛，好痛，好痛…","Adu du duh ...","เจ็บ เจ็บ เจ็บ เจ็บ..."
524,"ひどい、吐き気がする…","I think I'm going to throw up...","Tu me donnes la nausée...",,"真难受，好想吐…","真難受，好想吐…","Kau membuatku muak","แย่ที่สุด...อยากจะอาเจียน"
525,"落ち着いてイヴリン。　大丈夫、ボクがいる","Calm down Evelyn. It's ok, I'm here now.","Calme-toi, Evelyn. Je suis là !",,"伊芙琳冷静一点。　不要紧的有我在。","伊芙琳冷靜一點。　不要緊的有我在。","Tenanglah Evelyn. Ada aku disini.","ใจเย็นไว้ อีฟลิน ไม่เป็นไร ผมอยู่ที่นี่นะ"
526,"放っておいて……もう、いいの","It's ok, just leave me be.","S'il te plaît ! Laisse-moi !",,"不要管我……已经够了。","不要管我……已經夠了。","Cukup ! Tinggalkan aku sendirian.","ช่างฉันเถอะ...ช่างเถอะ"
527,"こうしてお相手できて光栄です","I'm honored to be your last opponent.","Je suis heureux de vous rencontrer.",,"能像这样当您的对手真是光荣。","能像這樣當您的對手真是光榮。","Bisa menjadi lawan seperti ini adalah suatu kehormatan.","ยินดีที่ได้เป็นคู่ต่อสู้ของท่านครับ"
528,"人生はあまりにも短い、そう思いませんか？","Life's too short, don't you think?","La vie est très courte, n'est-ce pas ?",,"人生实在是太短了，您不觉得吗？","人生實在是太短了，您不覺得嗎？","Kehidupan itu begitu pendek, tidakkah kamu berfikir seperti itu ?","ไม่คิดว่าชีวิตมนุษย์นั้นสั้นหรือครับ?"
529,"お手柔らかにお願いします","Please be gentle with me.","Ne me malmenez pas.",,"还请手下留情。","還請手下留情。","Tolong dengan lembut.","ขอความกรุณาด้วย"
530,"世界は儚いから美しいのでしょう","Life is fleeting, and in that beautiful.","Le Monde est beau. Parce qu'il est fragile.",,"世界就是因为虚幻所以才这么美丽的吧。","世界就是因為虛幻所以才這麼美麗的吧。","karena dunia ini sementara, indah kan ?","โลกงดงามยิ่งยามร่วงโรย"
531,"さて、終わりの時間です","So this is the end.","Voilà venue l'heure de mettre un terme à tout cela.",,"那么，结束的时间到了。","那麼，結束的時間到了。","Jadi, sudah waktunya selesai.","เอาล่ะ ถึงตอนจบแล้วครับ"
532,"あなたには、いつかのお礼をしないといけませんかね","I'll thank you for this someday.","Il faut que je vous paye la dette que je vous dois.",,"对你，不得不好好为了之前的事好好谢谢你。","對你，不得不好好為了之前的事好好謝謝你。","Suatu saat ada waktunya aku harus berterima kasih kepadamu.","ผมต้องตอบแทนคุณให้ได้ในสักวัน"
533,"あなたがすべてを思い出したとき聖女様は……","When you remembered it all, was there anything about a holy woman...?","Lorsque vous vous souviendrez de tout, notre Sainte Souveraine va...",,"当你想起所有事情的时候，圣女大人她……","當你想起所有事情的時候，聖女大人她……","Ketika kamu teringat semuanya, Putri Suci itu ......","ยามที่ท่านระลึกได้แล้ว ท่านหญิงศักดิ์สิทธิ์ก็จะ..."
534,"生と死の間に流れる旋律。聞かせてあげよう","There's a melody that flows between life and death, you know. I'll allow you to hear it, if you like.","Je vais vous faire écouter la mélodie de la Vie et de la Mort.",,"就让你听听，生与死之间的旋律吧。","就讓你聽聽，生與死之間的旋律吧。","Melody mengalir antara hidup dan mati. Akan ku Mainkan !","ขอฟังท่วงทำนองที่เคลื่อนไประหว่างความเป็นและความตายหน่อยสิ"
535,"賢者は奏で、愚者は聞き入る。それが僕らの関係だ","The wise man plays, the fool listens. That is our relationship.","Le Sage enseigne tandis que l'imbécile écoute. C'est ainsi que fonctionne notre relation.",,"智者演奏，愚者倾听。那就是我们之间的关系。","智者演奏，愚者傾聽。那就是我們之間的關係。","Orang bijak memainkan alat musik, orang bodoh yang mendengarkan. Seperti itulah hubungan kita.","ปราชญ์บรรเลง คนเขลาสดับ นี่แหละความสัมพันธ์ของเรา"
536,"甘美な復讐の音色、何度でも聞かせてあげよう","Ah revenge's sweet refrain, I could listen to it over and over.","Je peux vous faire écouter la magnifique mélodie de la Vengeance, encore et encore.",,"甜美的复仇音色，不管几次都让你听。","甜美的復仇音色，不管幾次都讓你聽。","Akan aku perdengarkan berkali-kali melodi balas dendam yang indah ini.","ผมขอฟังโทนเสียงแสนหวานนี้เรื่อยไป ไม่ว่าจะกี่ครั้งก็ตาม"
537,"復讐とは繰り返される旋律のようなものさ","My retribution will be like an unending melody.","La Vengeance est comme une mélodie que l'on répète encore et encore.",,"所谓的复仇就像是反复的旋律一般。","所謂的復仇就像是反復的旋律一般。","Balas dendam adalah seperti melodi yang di ulang-ulang.","การแก้แค้นก็คือท่วงทำนองที่บรรเลงย้อนไปมานั่นแหละ"
538,"あらゆる曲に終わりがあるように、すべて命にも終わりがある","When this song ends, so will your life.","Comme tout morceau de musique a une fin, la Vie a également une fin.",,"就如同乐曲都会完结，所有的生命也都有结束的一天。","就如同樂曲都會完結，所有的生命也都有結束的一天。","Seperti halnya lagu, kehidupanpun juga memiliki akhir.","ชีวิตทุกชีวิตมีจุดจบ เช่นเดียวกับเพลงที่การบรรเลงย่อมมีเวลาสิ้นสุด"
539,"このザジの音色、貴様に聞かせてやろう","I'll play this song at your funeral.","Je vous fais entendre cette mélodie de Zazi.",,"就由我来让你听听这自由的音色吧。","就讓你聽聽我這把札吉的音色吧。","Akan aku perdengarkan kepada kamu nada warna Zazie ini.","จะบรรเลงเสียงของซาซี่ให้แกได้ฟัง"
540,"どこがわるいのですかぁ？","Where does it hurt?","Où avez-vous mal ?",,"您哪里不舒服吗？","您哪裡不舒服嗎？","Salah di mananya ?","รู้สึกไม่ดีตรงไหนเหรอคะ?"
541,"さーてちりょうをかいししましょうかぁ","Shall we begin your treatment?","Il faut vous soigner !",,"那么，就开始治疗吧。","那麼，就開始治療吧。","Jadi, bagaimana kalau kembali berobat ?","เอาล่ะ มาเริ่มรักษากันเลยค่ะ"
542,"おちゅうしゃいたくありませんよぉ","This won't hurt a bit!","La piqûre ne fera pas mal !",,"打针不会痛的哦。","打針不會痛的哦。","Suntikanya tidak sakit kok.","ฉีดยามันไม่เจ็บหรอกน้า"
