"id","name","weapon_no","passive_id","card_cost","restriction","image","caption","weapon_type","material_use_cnt","material_add_param","material_exp","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
70,"緋色の珠",70,,1,15,"item_f_o002.swf","ATK+1。DEF+2。別世界の景色を眺めることができるという宝玉。",0,0,0,0,"2010-06-18 08:30:02 UTC","Crimson Jewel","Bijou cramoisi","차원의 보석","绯色之珠","緋色之珠","Crimson Jewel","ไข่มุกสีเลือด","ATK+1. DEF+2. Peering into this jewel permits a glimpse into another realm.","ATK+1. DEF+2. Pierre qui permettrait de voir un autre Monde.","ATK+1，DEF+2  /다른 세계의 경치를 바라볼 수있다는 보석","攻击+1。防御+2。可以看到其他世界景色的宝珠。","攻擊+1。防禦+2。可以看到其他世界景色的寶珠。","ATK+1. DEF+2. Batu berharga yang memiliki kemampuan untuk melihat ke dunia lain.","ATK+1, DEF+2 อัญมณีที่สามารถมองเห็นทิวทัศน์ของโลกต่างมิติได้"
71,"水晶の鎌",71,,0,16,"item_f_p000.swf","DEF+2。儀式での使用を目的とした殺傷能力のない大鎌。",0,0,0,0,"2010-06-18 08:30:02 UTC","Crystal Scythe","Faucille de Cristal","수정의 낫","水晶之镰","水晶之鎌","Crystal Scythe","เคียวคริสตัล","DEF+2. This ceremonial scythe would be quite useless for harming an opponent.","DEF+2. Faucille utilisée pour les sacrifices.","DEF+2  /의식에서 사용되는 살상능력이 없는 낫","防御+2。于仪式中所使用的无杀伤力大镰刀。","防禦+2。於儀式中所使用的無殺傷力大鐮刀。","DEF+2. Sabit yang digunakan dalam upaca tanpa kemampuan membunuh.","DEF+2 เคียวด้ามใหญ่ที่ไม่สามารถใช้ฆ่าหรือทำร้ายได้ สร้างขึ้นมาเพื่อใช้ในพิธี"
72,"ブラッディマリー",72,,1,16,"item_f_p001.swf","近接ATK+4。近接DEF+1。屠った者の魂が刀身に映るという呪われた血鎌。",0,0,0,0,"2010-06-18 08:30:02 UTC","Bloody Mary","BloodyMary","저주의 낫","血腥玛丽","血腥瑪麗","Bloody Mary","Bloody Mary","Short Range ATK+4. Short Range DEF+1. The souls of those it has slaughtered in the past trail behind this bloody scythe in a frightening vapor.","Courte portée ATK+4. Courte portée DEF+1. Faucille maudite que l'on dit possédée par l'âme de ceux qui furent exécutés.","근거리 ATK+4，근거리 DEF+1  /승리자의 영혼이 칼에 비친다는 저주받은 낫 (도니타)","近距离攻击+4。近距离防御+1。据说刀身会映照出遭杀害之人灵魂的诅咒血镰。","近距離攻擊+4。近距離防禦+1。據說刀身會映照出遭殺害之人靈魂的詛咒血鐮。","SWORD ATK+4. SWORD DEF+1. Sabit berdarah terkutuk yang dirasuki oleh jiwa orang mati.","ATKใกล้+4, DEFใกล้+1 เคียวโลหิตต้องสาปที่ฉายให้เห็นวิญญาณของผู้ถูกฆ่า"
73,"死神の大鎌",73,,1,16,"item_f_p002.swf","ATK+2。DEF+1。対象の魂のみを刈り取ることができるという恐怖の大鎌。",0,0,0,0,"2010-06-18 08:30:02 UTC","Death's Scythe","Faucille de la Mort","공포의 낫","死神的大镰刀","死神的大鐮刀","Death Scythe","เคียวยมทูต","ATK+2. DEF+1. This terrifying scythe can only reap the souls of those already fated to die.","ATK+2. DEF+1. Faucille qui ne fauche que l'âme de ses cibles.","ATK+2，DEF+1  /대상의 영혼만을 베어낼 수 있다는 공포의 커다란 낫","攻击+2。防御+1。据说是能够只猎取对象灵魂的恐怖大镰刀。","攻擊+2。防禦+1。據說是能夠只獵取對象靈魂的恐怖大鐮刀。","ATK+2. DEF+1. Sabit mengerikan yang mencabut nyawa manusia.","ATK+2, DEF+1 เคียวด้ามใหญ่ที่สามารถฟันวิญญาณของเป้าหมายได้"
74,"死霊の爪",74,,0,17,"item_f_q000.swf","近接ATK+4。死霊たちの怨念により呪いがかけられた戦爪、",0,0,0,0,"2010-06-18 08:30:02 UTC","Ghost Claw","Patte de Fantôme","사령의 손톱","死灵之爪","死靈之爪","Claw of Vengeance","เล็บของคนตาย","Short Range ATK+4. The pure spite of the raging dead give this battle claw its terrible power.","Courte portée ATK+4. Griffe hantée par la rancune de Fantômes.","근거리 ATK+4  /사령들의 원한에 의해 저주받은 손톱","近距离攻击+4。受死灵们怨念所诅咒的战爪。","近距離攻擊+4。受死靈們怨念所詛咒的戰爪。","SWORD ATK+4. Cakar perang terkutuk berisikan dendam arwah penasaran.","ATKใกล้+4 กรงเล็บต้องสาปจากความแค้นของวิญญาณ"
75,"獣人の焔爪",75,,1,17,"item_f_q001.swf","近接ATK+3。近接DEF+2。炎魔の加護により消えない炎を宿した戦爪。",0,0,0,0,"2010-06-18 08:30:02 UTC","Flaming Beast Claw","Patte du feu de bête-homme","수인의 염조","兽人的焰爪","獸人的焰爪","Flame Claw of The Beast","เล็บเพลิงมนุษย์ครึ่งอสูร","Short Range ATK+3. Short Range DEF+2. The undying flames that consume these battle claws signify the divine blessings they confer.","Courte portée ATK+3. Courte portée DEF+2 . Griffe enflammée, protégée par une flamme maléfique.","근거리 ATK+3，근거리 DEF+2  /염마의 가호에 의해 꺼지지 않는 불꽃의 손톱","近距离攻击+3。近距离防御+2。寄宿着由炎魔所加护过之不灭之炎的战爪。","近距離攻擊+3。近距離防禦+2。寄宿著由炎魔所加護過之不滅之炎的戰爪。","SWORD ATK+3. GUN ATK+2. Cakar perang yang dilengkapi api abadi yang dilindungi iblis api.","ATKใกล้+3, DEFใกล้+3 กรงเล็บที่มีไฟที่ไม่มีวันดับสถิตย์อยู่ด้วยความคุ้มครองจากปิศาจเพลิง"
76,"雷迅",76,,1,17,"item_f_q002.swf","ATK+2。DEF+1。装着者に微量の電気を送り身体能力を向上させる戦爪。",0,0,0,0,"2010-06-18 08:30:02 UTC","Thunderclaw","Tonnerre","뢰신","雷迅","雷迅","Raijin","สายฟ้าฟาด","ATK+2. DEF+1. These battle claws use trace electrical currents to quicken the reflexes of the wearer.","ATK+2. DEF+1. Griffe qui peut rejeter sur son ennemi une énorme décharge électrique.","ATK+2，DEF+1  /착용자에 미량의 전기를 보내 신체 능력을 향상시키는 손톱","攻击+2。防御+1。将微量的电气送往着装者体内后使身体能力向上的战爪。","攻擊+2。防禦+1。將微量的電氣送往著裝者體內後使身體能力向上的戰爪。","ATK+2. DEF+1. Cakar perang yang meningkatkan kekuatan fisik pemakainya dengan mengalirkan arus listrik.","ATK+2, DEF+1 กรงเล็บที่เพิ่มพลังของผู้สวมใส่ด้วยการส่งประจุไฟฟ้า"
77,"亡者の旗",77,,0,18,"item_f_r000.swf","近接ATK+4。亡者たちの士気を高める古びた戦旗。",0,0,0,0,"2010-06-18 08:30:02 UTC","Death's Pennant","Drapeau de mort","망자의 깃발","亡者之旗","亡者之旗","Flag of The Dead","ธงของคนตาย","Short Range ATK+4. This tattered battle standard is said to raise morale... of the dead.","ATK+2. DEF+1. Drapeau qui permet d'augmenter la motivation des morts.","근거리 ATK+4  /망자들의 사기를 높이는 오래된 깃발","近距离攻击+4。可以提升亡者们的士气之古老战旗。","近距離攻擊+4。可以提升亡者們的士氣之古老戰旗。","SWORD ATK+4. Panji perang yang menaikkan semangat orang mati.","ATKใกล้+4 ธงรบเก่าแก่ที่เสริมกำลังใจให้กับคนตาย"
78,"黒曜の旗",78,,1,18,"item_f_r001.swf","近接ATK+2。遠隔DEF+3。見る者たちを洗脳する黒塗りの旗。",0,0,0,0,"2010-06-18 08:30:02 UTC","Black Flag","Drapeau noir","흑요의 깃발","黑曜之旗","黑曜之旗","Black Flag","ธงสีดำ","Short Range DEF+2. Long Range DEF+3. All who gaze upon this flag's blackened fabric are said to fall under its dark spell.","Courte portée ATK+2. Longue portée DEF+3. Sombre drapeau qui s'empare de l'esprit de ceux qui le regardent.","근거리 DEF+2，원거리 DEF+3  /보는 사람들을 세뇌시키는 검은 깃발","近距离攻击+2。远距离防御+3。会将所见之人给洗脑的黑色旗帜。","近距離攻擊+2。遠距離防禦+3。會將所見之人給洗腦的黑色旗幟。","SWORD DEF+2. GUN DEF+3. Bendera hitam yang dapat mencuci otak semua orang yang melihatnya.","DEFใกล้+2, DEFไกล+3 ธงสีดำที่ล้างสมองคนที่จ้องมองได้"
79,"十字の旗",79,,1,18,"item_f_r002.swf","ATK+1。DEF+2。十字が刺繍されたベリンダ率いるガレオン軍の戦旗。",0,0,0,0,"2010-06-18 08:30:02 UTC","Cross Flag","Drapeau à Croix","십자가의 깃발","十字之旗","十字之旗","Cross Flag","ธงกางเขน","ATK+1. DEF+2. This flag bears an embroidered cross, the insignia of the forces under Belinda's command.","ATK+1. DEF+2. Drapeau de l'armée de Belinda, orné d'une croix. ","ATK+1，DEF+2  /십자가 수를 놓은 벨린다가  이끄는 갈레온 군의 깃발","攻击+1。防御+2。贝琳达率领的武装船军所使用之绣有十字的战旗。","攻擊+1。防禦+2。貝琳達率領的武裝船軍所使用之繡有十字的戰旗。","ATK+1. DEF+2. Bendera perang pasukan Belinda dengan bordiran salib.","ATK+1, DEF+2 ธงรบของกองทัพกาเลออนปักกางเขน ใช้ในปฏิบัติการเบลินดา"
80,"知力の鍵",80,,0,19,"item_f_s000.swf","DEF+2。所有者に無限の知識を与える扉を開くことができる知力の鍵。",0,0,0,0,"2010-06-18 08:30:02 UTC","Key of Wisdom","Clef de l'esprit","지력의 열쇠","智力之钥","智力之鑰","Key of Knowledge","กุญแจแห่งปัญญา","Short Range DEF+1. Long Range DEF+3. This key to knowledge has the power to unlock the door to unlimited wisdom.","Courte portée DEF+1. Longue portée DEF+3. Clef qui ouvre les portes du Savoir à son propriétaire.","DEF+2  /소유자에게 무한의 지식을 주는 문을 열 수있는 지력의 열쇠","近距离防御+1。远距离防御+3。能够让持有者开启拥有无限知识之门的智力之钥。","防禦+2。能夠讓持有者開啟擁有無限知識之門的智力之鑰。","SWORD DEF+1. GUN DEF+3. Sebuah kunci untuk membuka pintu yang dapat memberikan penggunanya pengetahuan tanpa batas.","DEFใกล้+1, DEF+3 กุญแจแห่งปัญญาที่ผู้ถือครองสามารถใช้ไขประตูแห่งปัญญาไร้ขีดจำกัด"
81,"剛健の鍵",81,,1,19,"item_f_s001.swf","近接ATK+2。近接DEF+3。身体の限界を無理やり抉じ開けることができる力の鍵。",0,0,0,0,"2010-06-18 08:30:02 UTC","Key of Strength","Clef de la force","강건의 열쇠","刚健之钥","剛健之鑰","Key of Vigor","กุญแจแห่งพลัง","Short Range ATK+2. Short Range DEF+3. This key to power can forcefully remove the body's limitations.","Courte portée ATK+2. Courte portée DEF+3. Clef qui offre une puissance illimitée à celui qui la possède.","근거리 ATK+2，근거리 DEF+3  /신체의 한계를 억지로 제비 동일한 열 수있는 힘의 자물쇠","近距离攻击+2。近距离防御+3。能够让持有者强制发挥出身体极限力量的力之钥。","近距離攻擊+2。近距離防禦+3。能夠讓持有者強制發揮出身體極限力量的力之鑰。","SWORD ATK+2. SWORD DEF+3. Kunci untuk melepaskan kekuatas tanpa batas.","ATKใกล้+2, DEFใกล้+3 กุญแจแห่งอำนาจที่สามารถเปิดทลายขีดจำกัดแห่งพลังได้"
82,"禁忌の鍵",82,,1,19,"item_f_s002.swf","ATK+2。DEF+1。渦から得体の知れないモノを得ることができる禁断の鍵。",0,0,0,0,"2010-06-18 08:30:02 UTC","Key of Contraband","Clef taboo","금기의 열쇠","禁忌之钥","禁忌之鑰","Key of Taboo","กุญแจต้องห้าม","ATK+2. DEF+1. This forbidden key has the capability to retrieve strange and unusual goods from within the Vortex.","ATK+2. DEF+1. Clef qui permet d'obtenir d'étranges objets sortis du Vortex.","ATK+2，DEF+1  /소용돌이 속에서 정체를 알 수없는 물건을 얻을 수있는 금단의 열쇠","攻击+2。防御+1。能够从涡得到不明物质的禁断之钥。","攻擊+2。防禦+1。能夠從渦得到不明物質的禁斷之鑰。","ATK+2. DEF+1. Sebuah kunci untuk mendapatkan berbagai barang dari dalam Vortex.","ATK+2, DEF+1 กุญแจต้องห้ามที่ทำให้ผู้ถือครองได้รับสิ่งลึกลับจากน้ำวน"
83,"強襲火器",83,,0,20,"item_f_t000.swf","近接ATK+3。近接DEF+1。強襲を想定して調整された装甲兵専用の重火器。",0,0,0,0,"2010-06-18 08:30:02 UTC","Assault Rifle","Puissante arme à feu","강습 화기","强袭枪械","強襲槍械","Assault Arms","ปืนทำลายล้าง","Short Range ATK+3. Short Range DEF+1. A powerful firearm for armor hunters who specialize in close range assault.","Courte portée ATK+3. Courte portée DEF+1. Arme à feu utilisée par les soldats en armures.","근거리 ATK+3，근거리 DEF+1  /강습에 대비하여  개조한 장갑병 전용의 중화기","近距离攻击+3。近距离防御+1。为了勐攻而调整出的装甲兵专用重枪械。","近距離攻擊+3。近距離防禦+1。為了猛攻而調整出的裝甲兵專用重槍械。","SWORD ATK+3. SWORD DEF+1. Senjata api khusus pasukan berpelindung yang digunakan untuk penyerangan besar.","ATKใกล้+3, DEFใกล้+1 อาวุธหนักสำหรับทหารติดเกราะที่ปรับแต่งเพื่อหวังผลทำลายล้าง"
84,"狙撃火器",84,,1,20,"item_f_t001.swf","遠隔ATK+3。遠隔DEF+2。狙撃に特化して創られた装甲兵専用の重火器",0,0,0,0,"2010-06-18 08:30:02 UTC","Sniper Rifle","Arme à feu lourde","저격 화기","狙击枪械","狙擊槍械","Sniper Arms","ปืนสไนเปอร์","Long Range ATK+3. Long Range DEF+2. A precision firearm intended for armor hunters who specialize in long range combat.","Longue portée ATK+3. Longue portée DEF+2. Arme à feu seulement maniée par les snipers en armure.","원거리 ATK+3，원거리 DEF+2  /저격에 특화되어 만들어진 장갑병 전용의 중화기","远距离攻击+3。远距离防御+2。为了特化狙击能力而製造出的装甲兵专用重枪械。","遠距離攻擊+3。遠距離防禦+2。為了特化狙擊能力而製造出的裝甲兵專用重槍械。","GUN ATK+3. GUN DEF+2. Senjata api khusus pasukan berpelindung yang berspesialisasi dalam pembidikan (sniping).","ATKไกล+3, DEFไกล+2 อาวุธหนักสำหรับทหารติดเกราะที่ทำขึ้นเพื่อการลอบยิง"
85,"襲撃火器",85,,1,20,"item_f_t002.swf","ATK+2。DEF+1。襲撃を専用とし調整された装甲兵専用の重火器。",0,0,0,0,"2010-06-18 08:30:02 UTC","Automatic Rifle","Arme anti-blindage","습격 화기","袭击枪械","襲擊槍械","Raid Arms","ปืนจู่โจม","ATK+2. DEF+1. An adaptable firearm for armor hunters who don't specialise in one form of battle.","ATK+2. DEF+1. Arme lourde seulement maniée par les soldats en armure spécialisés dans les raids.","ATK+2，DEF+1  /습격 전용으로 개조된 기갑병 전용의 중화기","攻击+2。防御+1。调整成袭击专用的装甲兵专用重枪械。","攻擊+2。防禦+1。調整成襲擊專用的裝甲兵專用重槍械。","ATK+2. DEF+1. Senjata api khusus pasukan berpelindung yang digunakan untuk penyerbuan.","ATK+2, DEF+1 อาวุธหนักสำหรับทหารติดเกราะที่ทำขึ้นเพื่อการทำลายล้าง"
86,"幸運のカード",86,,0,21,"item_f_u000.swf","近接ATK+3。近接DEF+1。秘密のおまじないが掛かった持ち主に幸運を呼び込むカード。",0,0,0,0,"2010-06-18 08:30:02 UTC","Lucky Card","Carte Chance","행운의 카드","幸运卡片","幸運卡片","Lucky Card","การ์ดแห่งโชคลาภ","Short Range ATK+3. Short Range DEF+1. This trump card gives good luck to whoever carries it.","Courte portée ATK+3. Courte portée DEF+1. Cette carte a la capacité à porter bonheur à son propriétaire.","근거리 ATK+3，근거리 DEF+1  /비밀의 주술이 걸린 소유자에게 행운을 가져다 주는 카드","近距离攻击+3。近距离防御+1。可以给持有者招来幸运的卡片。","近距離攻擊+3。近距離防禦+1。可以給持有者招來幸運的卡片。","SWORD ATK+3. SWORD DEF+1. Kartu yang memiliki kekuatan mengundang nasib baik bagi pemiliknya.","ATKใกล้+3, DEFใกล้+1 การ์ดที่ร่ายคาถาลับไว้ จะเรียกโชคลาภมาให้ผู้ถือครอง"
87,"幸運のチップ",87,,1,21,"item_f_u001.swf","遠隔ATK+2。遠隔DEF+3。秘密のおまじないが掛かった持ち主に幸運を呼び込むチップ。",0,0,0,0,"2010-06-18 08:30:02 UTC","Lucky Chip","Eclat de Chance","행운의 칩","幸运筹码","幸運籌碼","Lucky Chip","ชิปแห่งโชคลาภ","Long Range ATK+2. Long Range DEF+3. This gambling chip gives good luck to whoever carries it.","Longue portée ATK+2. Longue portée DEF+3. Sort qui porte bonheur à son propriétaire.","원거리 ATK+2，원거리 DEF+3  /비밀의 주술이 걸린 소유자에게 행운을 가져다 주는 칩","远距离攻击+2。远距离防御+3。施有秘密符咒可以给持有者招来幸运的筹码。","遠距離攻擊+2。遠距離防禦+3。施有秘密符咒可以給持有者招來幸運的籌碼。","GUN ATK+2. GUN DEF+3. Chip yang memiliki kekuatan mengundang nasib baik bagi pemiliknya.","ATKไกล+2 DEFไกล+3 ชิปที่ร่ายคาถาลับไว้ จะเรียกโชคลาภมาให้ผู้ถือครอง"
88,"幸運のダイス",88,,1,21,"item_f_u002.swf","ATK+1。DEF+2。秘密のおまじないが掛かった持ち主に幸運を呼び込むダイス。",0,0,0,0,"2010-06-18 08:30:02 UTC","Lucky Dice","Dés de la Chance","행운의 주사위","幸运骰子","幸運骰子","Lucky Dice","ลูกเต๋าแห่งโชคลาภ","ATK+1. DEF+2. These dice give good luck to whoever carries them.","ATK+1. DEF+2. Ces dés ont la capacité à porter bonheur à leur propriétaire.","ATK+1，DEF+2  /비밀의 주술이 걸린 소유자에게 행운을 가져다 주는 주사위","攻击+1。防御+2。施有秘密符咒可以给持有者招来幸运的骰子。","攻擊+1。防禦+2。施有秘密符咒可以給持有者招來幸運的骰子。","ATK+1. DEF+2. Dadu yang memiliki kekuatan mengundang nasib baik bagi pemiliknya.","ATK+1, DEF+2 ลูกเต๋าที่ร่ายคาถาลับไว้ จะเรียกโชคลาภมาให้ผู้ถือครอง"
89,"毒鉄線",89,,0,22,"item_f_v000.swf","ATK+2。毒が塗りこまれ殺傷力が増強されたワイアー。",0,0,0,0,"2010-06-18 08:30:02 UTC","Poisonous Wire","Fil toxique","독의 철선","毒铁线","毒鐵線","Poisonous Wire","ด้ายโลหะพิษ","ATK+2. This strangulation wire is made even more deadly by being dipped in poison.","ATK+2. Fil toxique, enduit d'un poison léthal.","ATK+2  /맹독이 칠해진 강화된 와이어로 높은 치사율을 자랑한다.","攻击+2。涂上毒来增强杀伤力的钢丝。","攻擊+2。塗上毒來增強殺傷力的鋼絲。","ATK+2. Kekuatan membunuh dari kawat ini dibantu dengan adanya racun.","ATK+2 เส้นลวดเหนียวอาบยาพิษที่มีพลังทำลายถึงตาย"
90,"破邪の銀線",90,,1,22,"item_f_v001.swf","遠隔ATK+1。遠隔DEF+4。特殊な金属で創られた不死者を撃ち滅ぼすワイアー。",0,0,0,0,"2010-06-18 08:30:02 UTC","Silver Wire of Exorcism","Fil d'Argent","파사의 은선","破邪的银线","破邪的銀線","Silver Exorcism Wire","ด้ายเงินแห่งความหลงผิด","Long Range ATK+1. Long Range DEF+4. This wire is made from a special alloy that makes it ideal for tackling undead foes.","Longue portée ATK+1. Longue portée DEF+4. Fil forgé dans un métal particulièrement coupant.","원거리 ATK+1，원거리 DEF+4  /특수 금속으로 만들어진 불사자를 쓰러뜨리는 와이어","远距离攻击+1。远距离防御+4。用特殊金属製造，专门击灭不死者用的钢丝。","遠距離攻擊+1。遠距離防禦+4。用特殊金屬製造，專門擊滅不死者用的鋼絲。","GUN ATK+1. GUN DEF+4. Kawat yang terbuat dari metal spesial yang khusus digunakan untuk menyerang manusia.","ATKไกล+1, DEFไกล+4 เส้นลวดที่ทำจากโลหะชนิดพิเศษ ใช้สังหารผู้เป็นอมตะได้"
91,"レッドスネーク",91,,1,22,"item_f_v002.swf","ATK+1。DEF+2。レッドグレイヴが精製したという混沌物質で編み上げられた鉄線。",0,0,0,0,"2010-06-18 08:30:02 UTC","Red Snake","RedSnake","혼돈의 철선","赤蛇","赤蛇","Red Snake","Red Snake","ATK+1. DEF+2. This steel wire is infused with Redgrave's refined Chaos material.","ATK+1. DEF+2. Fil que l'on dit avoir été créé par Redgrave à partir de matière chaotique.","ATK+1，DEF+2  /레드그레이브가 정제했다는 혼돈의 물질로 만들어진 철선","攻击+1。防御+2。以蕾格烈芙精製的溷沌物质所编出来的铁线。","攻擊+1。防禦+2。以蕾格烈芙精製的混沌物質所編出來的鐵線。","ATK+1. DEF+2. Kawat yang terbuat dari materi Chaos spesial milik Redgrave.","ATK+1, DEF+2 เส้นลวดโลหะที่ถักทออย่างแน่นหนาด้วยฝีมือของเรดเกรฟ"
92,"超駆動義肢",92,,0,23,"item_f_w000.swf","遠隔ATK+3。遠隔DEF+1。稼働率を限界まで引き上げた義肢の試作品。",0,0,0,0,"2010-06-18 08:30:02 UTC","Augmented Limb","Prothèse","견고한 의수","超驱动义肢","超驅動義肢","Superdrive Prosthesis","แขนกลจอมพลัง","Long Range ATK+3. Long Range DEF+1. This prototype artificial limb pushes its operating parameters to the limit.","Longue portée ATK+3. Longue portée DEF+1. Cette prothèse permet de repousser ses propres limites.","원거리 ATK+3，원거리 DEF+1  /가동률을 한계까지 끌어올려 만들어진 시작품 의수","远距离攻击+3。远距离防御+1。可以将能量运用率提升到极限的义肢试作品。","遠距離攻擊+3。遠距離防禦+1。可以將能量運用率提升到極限的義肢試作品。","GUN ATK+3. GUN DEF+1. Organ buatan uji coba yang beroperasi secara maksimal.","ATKไกล+3, DEFไกล+1 แขนกลรุ่นต้นแบบที่ดึงสมรรถภาพมาใช้จนถึงขีดสุด"
93,"ウボスの義肢",93,,1,23,"item_f_w001.swf","遠隔ATK+5。混沌生物の特性を抽出して創られた生命を持つ義肢。",0,0,0,0,"2010-06-18 08:30:02 UTC","Ubos' Limb","Prothèse d'Ubos","우보스의 의수","乌波斯的义肢","烏波斯的義肢","Ubos Prosthesis","แขนกลของอูโบส","Long Range ATK+5. This artificial limb draws its characteristics from the servants of Chaos, and has a life of its own.","Longue portée ATK+5. Prothèse composée à partir des âmes d'êtres chaotiques.","근거리 ATK+2，원거리 ATK+3  /혼돈 생물의 특성을 추출하여 만든 생명을 가진 의수","远距离攻击+5。以抽出的溷沌生物特性来创造出的带有生命的义肢。","遠距離攻擊+5。以抽出的混沌生物特性來創造出的帶有生命的義肢。","SWORD ATK+2. GUN ATK+3. Organ buatan yang dibuat dari ekstrak organisme Chaos.","ATKใกล้+2, ATKไกล+3 แขนกลมีชีวิตที่สร้างจากการสกัดลักษณะพิเศษของสัตว์ผสม"
94,"魂の義肢",94,,1,23,"item_f_w002.swf","ATK+2。DEF+1。数多くの人体実験を繰り返して創られたレッドグレイヴ専用義肢。",0,0,0,0,"2010-06-18 08:30:02 UTC","Spirit Limb","Âme artificielle","영혼의 의수","魂之义肢","魂之義肢","Prosthesis Soul","แขนกลวิญญาณ","ATK+2. DEF+1. This artificial limb is the product of untold human experimentation, and was designed for Redgrave's exclusive use.","ATK+2. DEF+1. Prothèse que seule Redgrave peut manier.  ","ATK+2，DEF+1  /수많은 인체 실험을 반복하여 만든 레드그레이브 전용의 의수","攻击+2。防御+1。重复经过多次人体实验之后所创造出来的蕾格烈芙专用义肢。","攻擊+2。防禦+1。重複經過多次人體實驗之後所創造出來的蕾格烈芙專用義肢。","ATK+2. DEF+1. Organ buatan khusus untuk Redgrave yang telah menjalani banyak eksperimen di berbagai tubuh manusia.","ATK+2, DEF+1 แขนกลของเรดเกรฟที่สร้างขึ้นจากการทดลองกับมนุษ๋ย์หลายคน"
95,"フラムベルク",95,,0,24,"item_f_x000.swf","近接ATK+4。剣身が波状になった炎を象徴する長剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Flamberge","Flamberg","파도의 장검","焰型细剑","焰型細劍","Flamberg","Flamberg","Short Range ATK+4. The undulating edge of this blade bears arcane flame-patterened markings.","Courte portée ATK+4 Epée représentant une vague enflammée.","근거리 ATK+4  /검의 날이 파도와 같아 마치 불꽃을 상장하는 장검","近距离攻击+4。剑身是波浪状，象徵着火炎的长剑。","近距離攻擊+4。劍身是波浪狀，象徵著火炎的長劍。","SWORD ATK+4. Pedang menyerupai bara yang memiliki tanda api didalamnya.","ATKใกล้+4 ดาบยาว ตัวดาบสะบัดราวกับเพลิงจนกลายเป็นสัญลักษณ์แห่งไฟ"
96,"黒耀刀",96,,1,24,"item_f_x001.swf","近接ATK+2。近接DEF+3。発火耐性を考慮して創られた全身黒塗りの刀。",0,0,0,0,"2010-06-18 08:30:02 UTC","Obsidian Sword","Épée d'obsidienne","흑요도","黑耀刀","黑耀刀","Obsidian Sword","ดาบออบซิเดียน","Short Range ATK+2. Short Range DEF+3. This blackened sword was made to resist heat.","Courte portée ATK+2. Courte portée DEF+3. Epée résistant au feu.","근거리 ATK+2，근거리 DEF+3  /발염내성을 고려하여 만들어진 검은 칼","近距离攻击+2。近距离防御+3。考量过耐发火特性而创造出来的全黑刀。","近距離攻擊+2。近距離防禦+3。考量過耐發火特性而創造出來的全黑刀。","SWORD ATK+2. SWORD DEF+3. Pedang yang dicat hitam menyeluruh untuk menahan nyala api.","ATKใกล้+2, DEFใกล้+3 ดาบสีดำที่สร้างขึ้นเพื่อให้ต้านทานเปลวเพลิงได้"
97,"プロフォンド",97,,1,24,"item_f_x002.swf","ATK+2。DEF+1。渦の中で鍛錬された、この世に存在しない物質で作られた魔剣。",0,0,0,0,"2010-06-18 08:30:02 UTC","Profonde","Profonde","축복의 마검","普罗冯多","普羅馮多","Profonde","Profonde","ATK+2. DEF+1. This daemon blade was forged in the Vortex, and is composed of a substance that does not exist naturally.","ATK+2. DEF+1. Lame qui a été conçue dans un Vortex, faite d'un matériau inconnu. ","ATK+2，DEF+1  /이 세상에 존재하지 않는 물질로 만들어진 마검","攻击+2。防御+1。在涡中锻鍊，以这世界所不存在的物质做出的魔剑。","攻擊+2。防禦+1。在渦中鍛鍊，以這世界所不存在的物質做出的魔劍。","ATK+2. DEF+1. Pedang yang terbuat dari material yang berasal dari Vortex dunia lain.","ATK+2, DEF+1 ดาบเวทมนตร์ที่สร้างขึ้นจากของที่ไม่มีบนโลกโดยนำมาหลอมในน้ำวน"
98,"紫の結晶石",98,,0,25,"item_f_y000.swf","遠隔ATK+1。遠隔DEF+3。ケイオシウム能力者に力を与える紫色の結晶石。",0,0,0,0,"2010-06-18 08:30:02 UTC","Purple Crystal","Cristal Pourpre","자의 결정석","紫之结晶石","紫之結晶石","Purple Crystal Stone","คริสตัลสีม่วง","Long Range ATK+1. Long Range DEF+3. This purple crystal gives power to the servants of Chaos.","Longue portée ATK+1. Longue portée DEF+3. Cristal qui donne une puissance supérieure aux adeptes du Chaos.","원거리 ATK+1，원거리 DEF+3  /케이오시움 능력자에게 힘을주는 자주색 결정석","远距离攻击+1。远距离防御+3。可以给溷沌原素能力者带来力量的紫色结晶石。","遠距離攻擊+1。遠距離防禦+3。可以給混沌原素能力者帶來力量的紫色結晶石。","GUN ATK+1. GUN DEF+3. Kristal ungu yang memberikan kekuatan bagi orang-orang berilmu Chaos.","ATKไกล+1, DEFไกล+3 คริสตัลสีม่วงที่ให้พลังแก่ผู้ใช้เคโอเซียม"
