"id","name","item_no","kind","sub_kind","duration","cond","image","image_frame","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
104,"アベル投票券",103,3,,0,,"item_z_a004.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Abel",0,"아벨 투표권","阿贝尔投票券","阿貝爾投票券","Abel Voting Card","บัตรลงคะแนนอาเบล","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
105,"レオン投票券",104,3,,0,,"item_z_a005.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Leon",0,"레온 투표권","利恩投票券","利恩投票券","Leon Voting Card","บัตรลงคะแนนเลออน","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
106,"クレーニヒ投票券",105,3,,0,,"item_z_a006.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Kronig",0,"크레니히 투표권","库勒尼西投票券","庫勒尼西投票券","Kronig Voting Card","บัตรลงคะแนนโครนิก","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
107,"ジェッド投票券",106,3,,0,,"item_z_a007.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Jead",0,"제드 투표권","杰多投票券","傑多投票券","Jead Voting Card","บัตรลงคะแนนเจด","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
108,"アーチボルト投票券",107,3,,0,,"item_z_a008.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Archibald",0,"아치볼드 투표권","阿奇波尔多投票券","阿奇波爾多投票券","Archibald Voting Card","บัตรลงคะแนนอาร์ชิบัลท์","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
109,"マックス投票券",108,3,,0,,"item_z_a009.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Max",0,"맥스 투표권","马库斯投票券","馬庫斯投票券","Max Voting Card","บัตรลงคะแนนแม็กซ์","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
110,"ブレイズ投票券",109,3,,0,,"item_z_a010.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Blaise",0,"브레이즈 투표권","布列依斯投票券","布列依斯投票券","Blaise Voting Card","บัตรลงคะแนนเบลซ","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
111,"シェリ投票券",110,3,,0,,"item_z_a011.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Sheri",0,"쉐리 투표권","雪莉投票券","雪莉投票券","Sheri Voting Card","บัตรลงคะแนนเชรี","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
112,"アイン投票券",111,3,,0,,"item_z_a012.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Ayn",0,"아인 투표권","艾茵投票券","艾茵投票券","Ayn Voting Card","บัตรลงคะแนนไอน์","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
113,"ベルンハルト投票券",112,3,,0,,"item_z_a013.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Bernhard",0,"베른하드 투표권","伯恩哈德投票券","伯恩哈德投票券","Bernhard Voting Card","บัตรลงคะแนนเบิร์นฮาร์ท","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
114,"フリードリヒ投票券",113,3,,0,,"item_z_a014.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Friedrich",0,"프리드리히 투표권","弗雷特里西投票券","弗雷特里西投票券","Friedrich Voting Card","บัตรลงคะแนนฟรีดริช","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
115,"マルグリッド投票券",114,3,,0,,"item_z_a015.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Marguerite",0,"마르그리드 투표권","玛格莉特投票券","瑪格莉特投票券","Marguerite Voting Card","บัตรลงคะแนนมาร์กรีต","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
116,"ドニタ投票券",115,3,,0,,"item_z_a016.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Donita",0,"도니타 투표권","多妮妲投票券","多妮妲投票券","Donita Voting Card","บัตรลงคะแนนโดนิต้า","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
117,"スプラート投票券",116,3,,0,,"item_z_a017.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Sprout",0,"스프라우트 투표권","史普拉多投票券","史普拉多投票券","Sprout Voting Card","บัตรลงคะแนนสเปราต์","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
118,"ベリンダ投票券",117,3,,0,,"item_z_a018.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Belinda",0,"베린다 투표권","贝琳达投票券","貝琳達投票券","Belinda Voting Card","บัตรลงคะแนนเบลินดา","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
119,"ロッソ投票券",118,3,,0,,"item_z_a019.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Rosso",0,"로쏘 투표권","罗索投票券","羅索投票券","Rosso Voting Card","บัตรลงคะแนนรอสโซ่","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
120,"エイダ投票券",119,3,,0,,"item_z_a020.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Ada",0,"에이다 투표권","艾妲投票券","艾妲投票券","Ada Voting Card","บัตรลงคะแนนเอด้า","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
121,"メレン投票券",120,3,,0,,"item_z_a021.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Melen",0,"메렌 투표권","梅伦投票券","梅倫投票券","Melen Voting Card","บัตรลงคะแนนเมเลน","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
122,"サルガド投票券",121,3,,0,,"item_z_a022.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Salgado",0,"살가드 투표권","萨尔卡多投票券","薩爾卡多投票券","Salgado Voting Card","บัตรลงคะแนนซัลกาโด","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
123,"レッドグレイヴ投票券",122,3,,0,,"item_z_a023.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Redgrave",0,"레드그레이브 투표권","蕾格烈芙投票券","蕾格烈芙投票券","Redgrave Voting Card","บัตรลงคะแนนเรดเกรฟ","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
124,"リーズ投票券",123,3,,0,,"item_z_a024.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Riesz",0,"리즈 투표권","里斯投票券","里斯投票券","Riesz Voting Card","บัตรลงคะแนนรีส","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
125,"ミリアン投票券",124,3,,0,,"item_z_a025.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Milian",0,"미리안 투표권","米利安投票券","米利安投票券","Milian Voting Card","บัตรลงคะแนนมิเลียน","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
126,"ウォーケン投票券",125,3,,0,,"item_z_a026.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Walken",0,"워켄 투표권","沃肯投票券","沃肯投票券","Walken Voting Card","บัตรลงคะแนนวอลเก้น","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
127,"テスト投票券",126,3,,0,,"item_z_a026.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Test Ballot",0,"테스트 투표권","测试用投票券","測試用投票券","Test Voting Card","บัตรลงคะแนนเทสท์","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
128,"パルモ投票券",127,3,,0,,"item_z_a028.swf",1,"cutinchara01_skl00.swf","2012Unlightキャラクター人気投票の投票券","2010-04-06 04:53:16 UTC","Ballot for Palmo",0,"파르모투표권","帕茉投票券","帕茉投票券","Palmo Voting Card","บัตรลงคะแนนพัลโม","Ballot for the election of the most popular character of Unlight, 2012",,"2012 언라이트 인기 캐릭터 투표권","2012Unlight角色人气投票的投票券","2012Unlight角色人氣投票的投票券","Kertas suara untuk pemilihan karakter terpopuler Unlight 2012.","บัตรลงคะแนนความนิยมของตัวละคร Unlight 2012"
129,"古びた討魔の証",128,1,,0,,"item_c_b009.swf",2,"cutinchara01_skl00.swf","Oblivion Landのクエスト地域を1つ進めます。","2010-04-06 04:53:16 UTC","Old Demon Slayer's Word","Témoignage du Paladin",,"老旧的讨魔证明","老舊的討魔證明",,,"Advance to the next area of OblivionLand","Vous avancez d'une région dans la Quête OblivionLand.",,"往下一个Oblivion Land地区前进","往下一個Oblivion Land地區前進",,
130,"魔除けの仮面（青）",129,3,,0,,"item_c_e031.swf",1,"cutinchara01_skl00.swf","「魔女の呪い」イベント収集アイテム。1ポイント(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Exorcist's Mask (Blue)","Masque Maléfique (Bleu)",,"除魔面具（蓝）","除魔面具(藍)",,,"An item you need to collect for the event. (Disappears after the event is over.)","An item you need to collect for the event. (Disappears after the event is over.)",,"“魔女的诅咒”活动收集道具。1Point（活动结束后删除）","「魔女的詛咒」活動收集道具。1Point(活動結束後刪除)",,
131,"魔除けの仮面（赤）",130,3,,0,,"item_c_e031.swf",2,"cutinchara01_skl00.swf","「魔女の呪い」イベント収集アイテム。1ポイント(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Exorcist's Mask (Red)","Masque Maléfique (Rouge)",,"除魔面具（红）","除魔面具(紅)",,,"An item you need to collect for the event. (Disappears after the event is over.)","An item you need to collect for the event. (Disappears after the event is over.)",,"“魔女的诅咒”活动收集道具。1Point（活动结束后删除）","「魔女的詛咒」活動收集道具。1Point(活動結束後刪除)",,
132,"魔除けの仮面（白）",131,3,,0,,"item_c_e031.swf",3,"cutinchara01_skl00.swf","「魔女の呪い」イベント収集アイテム。1ポイント(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Exorcist's Mask (White)","Masque Maléfique (Blanc)",,"除魔面具（白）","除魔面具(白)",,,"An item you need to collect for the event. (Disappears after the event is over.)","An item you need to collect for the event. (Disappears after the event is over.)",,"“魔女的诅咒”活动收集道具。1Point（活动结束后删除）","「魔女的詛咒」活動收集道具。1Point(活動結束後刪除)",,
133,"聖杯のかけら",132,3,,0,,"item_c_e032.swf",1,"cutinchara01_skl00.swf","「魔女の呪い」イベント収集アイテム。50ポイント(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Holy Grail Fragment","Pièce du Saint Graal",,"圣杯碎片","聖杯的碎片",,,"An item you need to collect for the event. (Disappears after the event is over.)","An item you need to collect for the event. (Disappears after the event is over.)",,"“魔女的诅咒”活动收集道具。50Point（活动结束后删除）","「魔女的詛咒」活動收集道具。50Point(活動結束後刪除)",,
134,"妖精のブロック（黄）",133,0,,0,,"item_c_b160.swf",1,"cutinchara01_skl00.swf","使用すると1GEMを取得します。","2010-04-06 04:53:16 UTC","Fairy Cube (Yellow)","Bloc de Fée (Jaune)",,"妖精方块(黄)","妖精方塊(黃)",,,"Use to get 1 GEM.","Vous obtenez 1 GEM en l'utilisant.",,"使用後可以得到1GEM。","使用後可以得到1GEM。",,
135,"妖精のブロック（緑）",134,0,,0,,"item_c_b160.swf",2,"cutinchara01_skl00.swf","使用すると50GEMを取得します。","2010-04-06 04:53:16 UTC","Fairy Cube (Green)","Bloc de Fée (Vert)",,"妖精方块(绿)","妖精方塊(綠)",,,"Use to get 50 GEM.","Vous obtenez 50 GEM en l'utilisant.",,"使用後可以得到50GEM。","使用後可以得到50GEM。",,
136,"妖精のブロック（青）",135,0,,0,,"item_c_b160.swf",3,"cutinchara01_skl00.swf","使用すると100GEMを取得します。","2010-04-06 04:53:16 UTC","Fairy Cube (Blue)","Bloc de Fée (Bleu)",,"妖精方块(蓝)","妖精方塊(藍)",,,"Use to get 100 GEM.","Vous obtenez 100 GEM en l'utilisant.",,"使用後可以得到100GEM。","使用後可以得到100GEM。",,
137,"妖精のブロック（赤）",136,0,,0,,"item_c_b160.swf",4,"cutinchara01_skl00.swf","使用すると200GEMを取得します。","2010-04-06 04:53:16 UTC","Fairy Cube (Red)","Bloc de Fée (Rouge)",,"妖精方块(红)","妖精方塊(紅)",,,"Use to get 200 GEM.","Vous obtenez 200 GEM en l'utilisant.",,"使用後可以得到200GEM。","使用後可以得到200GEM。",,
138,"妖精のブロック（紫）",137,0,,0,,"item_c_b160.swf",5,"cutinchara01_skl00.swf","使用すると500GEMを取得します。","2010-04-06 04:53:16 UTC","Fairy Cube (Purple)","Bloc de Fée (Violet)",,"妖精方块(紫)","妖精方塊(紫)",,,"Use to get 500 GEM.","Vous obtenez 500 GEM en l'utilisant.",,"使用後可以得到500GEM。","使用後可以得到500GEM。",,
139,"高級チョコレート",138,0,,0,,"item_c_e049.swf",1,"cutinchara01_skl00.swf","フレンド枠を+10します。","2010-04-06 04:53:16 UTC","Fine Chocolate","Chocolat de Luxe",,"高级巧克力","高級巧克力",,,"Friend slot +10","Augmente votre liste d'amis de 10.",,"朋友栏 +10","朋友欄 +10",,
140,"エヴァリストのクッキー",139,2,,0,,"item_c_e052.swf",2,"cutinchara01_skl00.swf","エヴァリストが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Evarist's Cookie","Cookie d'Evarist",,"艾伯李斯特的饼乾","艾伯李斯特的餅乾",,,"Cookie prepared by Evarist. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Evarist. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"艾伯李斯特準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","艾伯李斯特準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
141,"グリュンワルドのクッキー",140,2,,0,,"item_c_e053.swf",2,"cutinchara01_skl00.swf","グリュンワルドが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Grunwald's Cookie","Cookie de Grunwald",,"古鲁瓦尔多的饼乾","古魯瓦爾多的餅乾",,,"Cookie prepared by Grunwald. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Grunwald. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"古鲁瓦尔多準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","古魯瓦爾多準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
142,"アベルのクッキー",141,2,,0,,"item_c_e054.swf",2,"cutinchara01_skl00.swf","アベルが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Abel's Cookie","Cookie d'Abel",,"阿贝尔的饼乾","阿貝爾的餅乾",,,"Cookie prepared by Abel. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Abel. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"阿贝尔準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","阿貝爾準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
143,"リーズのクッキー",142,2,,0,,"item_c_e055.swf",2,"cutinchara01_skl00.swf","リーズが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Riesz's Cookie","Cookie de Riesz",,"里斯的饼乾","里斯的餅乾",,,"Cookie prepared by Riesz. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Riesz. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"里斯準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","里斯準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
144,"ディノのクッキー",143,2,,0,,"item_c_e056.swf",2,"cutinchara01_skl00.swf","ディノが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Dino's Cookie","Cookie de Dino",,"迪诺的饼乾","迪諾的餅乾",,,"Cookie prepared by Dino. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Dino. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"迪诺準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","迪諾準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
145,"イデリハのクッキー",144,2,,0,,"item_c_e057.swf",2,"cutinchara01_skl00.swf","イデリハが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Ideriha's Cookie","Cookie d'Idehari",,"出叶的饼乾","出葉的餅乾",,,"Cookie prepared by Ideriha. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Ideriha. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"出叶準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","出葉準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
146,"アイザックのクッキー",145,2,,0,,"item_c_e058.swf",2,"cutinchara01_skl00.swf","アイザックが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Izac's Cookie","Cookie d'Isaac",,"艾依查库的饼乾","艾依查庫的餅乾",,,"Cookie prepared by Izac. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Isaac. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"艾依查库準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","艾依查庫準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
147,"ブレイズのクッキー",146,2,,0,,"item_c_e059.swf",2,"cutinchara01_skl00.swf","ブレイズが用意したクッキー。ダイスの差分が[3]以下の場合、ボーナスゲームをスキップできます。","2010-04-06 04:53:16 UTC","Blaise's Cookie","Cookie de Blaise",,"布列依斯的饼乾","布列依斯的餅乾",,,"Cookie prepared by Blaise. When the difference between pips is less than 3, players may continue the Bonus Game.","Cookie préparé par Blaise. Lorsque la différence entre les dés est de moins de [3], vous pouvez passer le Jeu Bonus.",,"布列依斯準备的饼乾。骰数的差小於3时,可以继续进行奖励游戏。","布列依斯準備的餅乾。骰數的差小於3時,可以繼續進行獎勵遊戲。",,
151,"秘伝書の断片1",150,3,,0,,"item_c_e006.swf",1,"cutinchara01_skl00.swf","アスラの奥義が記された秘伝書の断片。7種類集めると…？(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Secret Note #1","Fragment de document secret 1","비전서 두루마리1","秘传书的残页1","秘傳書的殘頁1","Secret Note Fragment 1","ชิ้นส่วนหนังสือแห่งความลับ 1","A fragment of the document where Asura wrote down his secrets. What might happen if you collect all seven fragments...?","Fragment de document secret contenant le mystère d'Asura. Que se passera-t-il une fois que vous aurez rassemblé les 7 fragments ?","아수라의 비밀이 담긴 비전서. (이벤트 전용)","记载着阿修罗的奥义的秘传书残页。只要收集到7种就…?","記載著阿修羅的奧義的秘傳書殘頁。只要收集到７種就…?","Bagian dari dokumen rahasia berisi rahasia tentang Asura. Apa yang akan terjadi bila semua tujuh bagiannya terkumpul?","ชิ้นส่วนของหนังสือแห่งความลับที่บันทึกความลับของอาชูร่าเอาไว้ หากสะสมครบ 7 ชนิดแล้วล่ะก็..."
152,"秘伝書の断片2",151,3,,0,,"item_c_e006.swf",2,"cutinchara01_skl00.swf","アスラの奥義が記された秘伝書の断片。7種類集めると…？(イベント終了後に消失します)","2010-04-06 04:53:16 UTC","Secret Note #2","Fragment de document secret 2","비전서 두루마리2","秘传书的残页2","秘傳書的殘頁2","Secret Note Fragment 2","ชิ้นส่วนหนังสือแห่งความลับ 2","A fragment of the document where Asura wrote down his secrets. What might happen if you collect all seven fragments...?","Fragment de document secret contenant le mystère d'Asura. Que se passera-t-il une fois que vous aurez rassemblé les 7 fragments ?","아수라의 비밀이 담긴 비전서. (이벤트 전용)","记载着阿修罗的奥义的秘传书残页。只要收集到7种就…?","記載著阿修羅的奧義的秘傳書殘頁。只要收集到７種就…?","Bagian dari dokumen rahasia berisi rahasia tentang Asura. Apa yang akan terjadi bila semua tujuh bagiannya terkumpul?","ชิ้นส่วนของหนังสือแห่งความลับที่บันทึกความลับของอาชูร่าเอาไว้ หากสะสมครบ 7 ชนิดแล้วล่ะก็..."
