"id","name","passive_skill_no","pow","effect_image","caption","created_at","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
46,"深淵+",38,9,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Abyss +","Abysses +","심연","深渊 +","深淵 +","Abyss","หุบเหวลึก","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
47,"因果の輪+",38,18,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Circle of Fate +","Cercle du Destin +","인과의 원","因果之轮 +","因果之輪 +","Circle of Fate","วงล้อชะตากรรม","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
48,"デスペラード+",38,28,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Desperado +","Desperado +","무법자","致命枪击 +","致命槍擊 +","Desperado","Desperado","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
49,"ペインフリー+",38,31,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Pain Free +","Libération +","한계","解放 +","解放 +","Pain Free","Pain Free","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
50,"封印の鎖+",38,33,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Sealing Chain +","Sceau d'Acier +","봉인의 사슬","封印枷锁 +","封印枷鎖 +","Sealing Chain","โซ่ตรวนผนึก","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
51,"ミスフィット+",38,51,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Misfit +","Inadapté +","저주의 지배","异质者 +","異質者 +","Misfit","Misfit","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
52,"１つの心+",38,54,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"One Heart +","Mirage +","성스런 마음","一颗心 +","一顆心 +","One Heart","หนึ่งใจ","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
53,"解放剣+",38,67,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Sword of Release +","Épée Libératrice +","해방검","解放剑 +","解放劍 +","Liberated Sword","ดาบปลดปล่อย","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
54,"百閃+",38,70,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"One Hundred Slashes +","Cent Entailles  +","백섬","百闪 +","百閃 +","Hyakusen","ร้อยคมดาบ","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
55,"ラプチュア+",38,73,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Rapture +","Ravissement +","환영의 문","恍惚 +","恍惚 +","Rapture","Rupture","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
56,"ミスフィット+",38,51,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Misfit +","Inadapté +","저주의 지배","异质者 +","異質者 +","Misfit","Misfit","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
57,"貪り食うもの+",38,79,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Glutton +","Glouton +","신체의 조정","贪食者 +","貪食者 +","The Devourer","ผู้หิวโหย","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
58,"スノーボーリング+",38,83,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Snow Bowling +","Boule de neige +","눈덩이","裂地冰牙 +","裂地冰牙 +","Snow Bowling","Snow Bowling","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
59,"レイザーズエッジ+",38,87,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Razor's Edge +","Laser's Edge +","시공의 뒤틀림","时空分断刀 +","時空分斷刀 +","Razor's Edge","Laser's Edge","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
60,"マシンガン+",38,98,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Machinegun +","Machinegun +","기관총","机枪扫射 +","機槍掃射 +","Machine Gun","Machine Gun","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
61,"ローボール+",38,103,,"__NAME__の発動に必要なアクションカードのタイプを1つ削減する|",,"Low Ball +","Low Ball +","혼신의 일격","Lowball +","Lowball +","Low Ball","Low Ball","Reduce action cards needed for __NAME__ by 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1.|",,"发动__NAME__所需要的行动卡类型减少1|","發動__NAME__所需要的行動卡類型減少1|",,
62,"ブラストオフ+",38,107,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Blast Off +","Mise à feu +","분노한 마음","回飞踢 +","迴飛踢 +","Blast Off","Blast Off","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
63,"C.T.L+",38,109,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"C.T.L +","C.T.L +","C.T.L","C.T.L +","C.T.L +","C.T.L","C.T.L","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
64,"煉獄+",38,115,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Purgatory +","Purgatoire +","연옥","炼狱 +","煉獄 +","Purgatory","เพลิงโลกันต์","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
65,"シュバルトブリッツ+",38,120,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Schwert Blitz +","Schwert Blitz +","대지의 분노","漆黑迅雷 +","漆黑迅雷 +","Schwarz Blitz","Schwert Blitz","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
66,"ディセクション+",38,124,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Dissection +","Dissection +","왜곡된 힘","自我解剖 +","自我解剖 +","Dissection","Dissection","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
67,"慈悲の青眼+",38,128,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Merciful Blue Eyes +","Yeux bleus de Miséricorde +","자비의 흔적","慈悲的蓝眼 +","慈悲的藍眼 +","Sight of Mercy","ดวงตาสีฟ้าแสนเศร้า","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
68,"葉隠+",38,130,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Hide in Foliage +","Hagakure +","나뭇잎 은신","叶隐术 +","葉隱術 +","Hagakure","ฮะงะคุเระ","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
69,"ローデシアの海+",38,135,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Rhodesian Sea +","Mer de Rhodésia +","깊은 바다","罗德西亚之海 +","羅德西亞之海 +","Rhodesian Sea","มหาสมุทรโรเดเชีย","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
70,"バトルアックス+",38,158,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Battle Axe +","BattleAxe +","배틀액스","战斗巨斧 +","戰鬥巨斧 +","Battle Axe","Battle Axe","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
71,"蒼き薔薇+",38,161,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Blue Rose +","Rose de Saphir +","푸른장미","苍蓝蔷薇 +","蒼藍薔薇 +","Azure Rose","กุหลาบน้ำเงิน","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
72,"ディジタリス+",38,167,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Digitalis +","Digitale +","제야","洋地黄 +","洋地黃 +","Digitalis","Digitalis","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
73,"八葉+",38,169,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Lotus Flower +","Fleur de Lotus +","여덟 잎","八叶 +","八葉 +","Hachiyo","ดอกบัว","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
74,"愚者の手+",38,177,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Hand of Folly +","Folie +","우둔한 자의 손","愚者之手 +","愚者之手 +","Hands of Fool","มือคนเขลา","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
75,"ザ・ジャッジ+",38,181,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Judgment +","Juge +","심판","审判 +","『審判』 +","The Judge","The Judge","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
76,"シルバーマシン+",38,185,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Silver Mechanism +","Machine Argenté +","실버머신","白银战机 +","白銀戰機 +","Silver Machine","Silver Machine","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
77,"デッドロック+",38,189,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Deadlock +","Deadlock +","데드록","异空僵局 +","異空僵局 +","Deadlock","Deadlock","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
78,"慟哭の歌+",38,193,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Song of Lament +","Chanson de Sanglot +","통곡의 노래","恸哭之歌 +","慟哭之歌 +","Song of Lament","เพลงร่ำไห้","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
79,"タイムボム+",38,198,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Timebomb +","Bombe à Retardement +","타임 봄","时间爆弹 +","時間爆彈 +","Time Bomb","Time Bomb","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
80,"自棄のソナタ+",38,201,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Desolate Sonata +","Sonate de Déspoir +","검투사의 행진곡","自弃的奏鸣曲 +","自棄的奏鳴曲 +","March of Gladiators","มาร์ชนักดาบ","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
81,"たのしい採血+",38,206,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Pleasant Transfusion +","Prise de Sang  +","즐거운 채혈","愉快抽血 +","愉快抽血 +","Exsanguination","เจาะเลือดแสนสนุก","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
82,"グッドウィル+",38,214,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Good Will +","Good Will +","굿 윌","祝善之意 +","祝善之意 +","Goodwill","Good Will","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
83,"転生輪廻+",38,218,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Transmigratory Cycle +","Métempsychose +","전생윤회","转生轮回 +","轉生輪迴 +","Metempsychosis","สงสารวัฏ","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
84,"懶惰の呻き+",38,221,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Moan of Apathy +","Gémissement d'unnui +","나태의 신음","懒惰的呻吟 +","懶惰的呻吟 +","Languid Groan","เสียงครางอันเกียจคร้าน","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
85,"冬の夢+",38,225,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Winter Dream +","Rêve d'hiver +","겨울의 꿈","冬之梦 +","冬之夢 +","Winters' Dream","ฝันเหมันต์","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
86,"Rud・913+",38,228,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Rud 913 +","Rud-913 +","Rud-913","Rud-913 +","Rud-913 +",,"Rud-913","Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
87,"フォイルニスゼーレ+",38,239,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Fäulnis Seele +","Fäulnis Seele +","포일니스 제레","腐朽之灵 +","腐朽之靈 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
88,"魂魄の贄+",38,245,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Spirit Offering +","Victime de l'âme +","혼백의 제물","魂魄的奉礼 +","魂魄的奉禮 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
89,"ドリームステッキ+",38,248,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Dream Stick +","Canne du Rêve +","드림스틱","梦幻魔杖 +","夢幻魔杖 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
90,"鮮烈なる邪光+",38,252,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Vivid Flash of Evilness +","Lumière Perverse +","빛나는 사안","鲜明的邪光 +","鮮明的邪光 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
91,"曲悪の安寧+",38,271,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Wicked Peace +","La paix de Méchanceté +",,"曲恶的安宁 +","曲惡的安寧 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
92,"パピリオサルタンス+",38,277,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Papiliosaltans +","Papiliosaltans +",,"蝶舞 +","蝶舞 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
93,"抱擁する結界+",38,292,,"__NAME__の発動に必要なアクションカードの値を1緩和する, この効果で条件値は0にならない|",,"Embracing Ward +","Embrassade infranchissable +",,"抱拥结界 +","抱擁結界 +",,,"Reduce action cards needed for __NAME__ by 1. Effect not applicable if criteria is already 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1. Effet non applicable lorsque le critère est déjà de 1.|",,"__NAME__发动此技能所需要的行动卡值-1，此效果不会让条件值少於1|","__NAME__發動此技能所需要的行動卡值-1, 此效果不會讓條件值少於1|",,
94,"何処を見てやがる！+",38,305,,"__NAME__の発動に必要なアクションカードのタイプを1つ削減する|",,"Where the hell are you lookin' at! +","Qu'est-ce que tu regardes ? +",,"你是在看哪里！ +","你是在看哪裡！ +",,,"Reduce action cards needed for __NAME__ by 1|","Réduit le nombre de cartes nécessaires à __NAME__ de 1.|",,"发动__NAME__所需要的行动卡类型减少1|","發動__NAME__所需要的行動卡類型減少1|",,
