"id","name","caption","region","level","ap","difficulty","name_en","name_fr","name_kr","name_scn","name_tcn","name_ina","name_thai","caption_en","caption_fr","caption_kr","caption_scn","caption_tcn","caption_ina","caption_thai"
36,"聖女の玉座","復讐の炎が血肉として実体化したとき、聖女の復活が始まる。",4,79,7,80,,"Saint Trône","성녀의 옥좌 ","圣女的宝座","聖女的寶座",,,,"Lorsque la Flamme de la Vengeance reprendra forme humaine, alors la résurrection de la Sainte Souveraine pourra commencer.","복수의 불꽃이 혈육으로 실체화될 때 성녀의 부활이 시작된다. ","复仇之火以血肉实体化的时候，圣女的复活就要开始。","復仇之火以血肉實體化的時候，聖女的復活就要開始。",,
101,"ExShadowLand","影の大陸に隠れ住む魔の軍勢たち。",1,99,99,99,"Ex Shadow Land","ExShadowLand","ExShadowLand","Ex影之大陆","Ex影之大陸","Ex Shadow Land","ExShadowLand","Evil force hide in Ex ShadowLand.","Une puissance maléfique se cache en ExShadowLand.","그림자 대륙에 숨어 사는 마의 군대들.","隐藏在影之大陆的魔物大军。","隱藏在影之大陸的魔物大軍。","Kekuatan jahat bersembunyi di Ex ShadowLand.","เหล่ากองทัพปิศาจที่แอบอาศัยอยู่ในนครแห่งเงา"
102,"ExMoonLand","数年の1度の月食の日のみ、姿を現すといわれる月影の大陸。",2,99,99,99,"Ex Moon Land","ExMoonLand","ExMoonLand","EX月之大陆","EX月之大陸","Ex Moon Land","ExMoonLand","Ex MoonLand will only appears during lunar eclipse.","ExMoonLand n'apparaît que pendant les éclipses lunaires.","수년에 한번 월식의 날에만 모습을 드러내는 달의 대륙.","只有在数年一次的月蚀之日才会出现的月影大陆。","只有在數年一次的月蝕之日才會出現的月影大陸。","Ex MoonLand hanya akan muncul saat gerhana bulan.","นครจันทราที่ว่ากันว่าจะปรากฎขึ้นในคืนจันทรุปราคาใน 1 ปีเท่านั้น"
103,"ExAnemonea","嵐が吹き荒れる渦中に佇む風の国の裏世界",3,99,99,99,"Ex Anemonea","ExAnemonea","ExAnemonea","Ex安妮莫娜","Ex安妮莫娜","Ex Anemonea","ExAnemonea","The land in violent storm called Ex Anemonea. ","ExAnemonea se trouve au coeur d'une terre protégée par une éternelle et violente tempête.","폭풍우가 휘몰아치는 소용돌이안에 우두커니 서 있는 바람 나라의 어둠의 세계","地处终年狂风大作的漩涡之中的风之国里世界。","地處終年狂風大作的漩渦之中的風之國裏世界。","Daerah di dalam badai yang disebut Ex Anemonea.","โลกเบื้องหลังของวายุนคร ที่อยู่ใจกลางพายุหมุน"
104,"ExAnemonea","嵐が吹き荒れる渦中に佇む風の国の裏世界",3,99,99,99,"Ex Anemonea","ExAnemonea","ExAnemonea","Ex安妮莫娜","Ex安妮莫娜","ExAnemonea","ExAnemonea","The land in violent storm called Ex Anemonea. ","ExAnemonea se trouve au coeur d'une terre protégée par une éternelle et violente tempête.","폭풍우가 휘몰아치는 소용돌이안에 우두커니 서 있는 바람 나라의 어둠의 세계","地处终年狂风大作的漩涡之中的风之国里世界。","地處終年狂風大作的漩渦之中的風之國裏世界。",,"โลกเบื้องหลังของวายุนคร ที่อยู่ใจกลางพายุหมุน"
105,"ExAngelland",,4,99,99,99,,"ExAngelland","ExAngelland","Ex天使大陆","Ex天使大陸","ExAnemonea","ExAngelLand",,,,,,,
106,"ExAngelland",,4,99,99,99,,"ExAngelland","ExAngelland","Ex天使大陆","Ex天使大陸","ExAngelland","ExAngelLand",,,,,,,
107,"ExEventLand","イベント用Ex地形",4,99,99,99,,"ExEventLand","ExEventLand","ExEventLand","Ex活動大陸","ExEventLand",,,,,,,,
108,"ExEventLand","退避用",4,99,99,99,,"ExEventLand","ExEventLand","ExEventLand","Ex活動大陸","ExEventLand",,,,,,,,
201,"2011XmasLand","クリスマスイベント専用地形",0,99,99,99,"2011XmasLand","2011XmasLand","2012XmasLand","2011Xmas大陆","2011Xmas大陸","2011XmasLand","2011XmasLand","A land for Xmas Event.","Terre réservée aux événements de Noël.","크리스마스 이벤트 전용 지형","圣诞节集会地","聖誕節集會地","Daerah untuk event Natal.","พื้นที่พิเศษสำหรับอีเวนท์คริสมาส"
202,"2012ValentineLand","バレンタインイベント専用地形",0,99,99,99,"2012ValentineLand","2012ValentineLand","2012ValentineLand","2012Valentine大陆","2012Valentine大陸","2012ValentineLand","2012ValentineLand","A land for Valentine Event.","Terre réservée aux événements de la St Valentin.","발렌타인 이벤트 전용 지형","情人节活动专用地形","情人節活動專用地形","Daerah untuk event Valentine.","พื้นที่พิเศษสำหรับอีเวนท์วาเลนไทน์"
203,"2012WhiteLand","ホワイトデーイベント専用地形",0,99,99,99,"2012WhiteLand","2012WhiteLand","2012WhiteLand","2012White大陆","2012White大陸","2012WhiteLand","2012WhiteLand","A land for White Valentine Event.","Terre réservée aux événements du White Day.","화이트데이 이벤트 전용 지형","白色情人节活动专用地形","白色情人節活動專用地形","Daerah untuk event White Valentine.","พื้นที่พิเศษสำหรับอีเวนท์ไวท์เดย์"
204,"丘丘の丘","小人たちが目指した新天地",0,99,99,99,,"Colline des Thco Thco","구구의 언덕","丘丘之丘","丘丘之丘","Ogre Hill","หุบเขาคนแคระ",,"Terre Promise que les Nains recherche désormais.","난쟁이들이 소망했던 신천지","矮人们向往的新天地","矮人們嚮往的新天地","Daerah pernjanjian yang dicari oleh para Ogre.","พื้นที่ใหม่ที่เหล่าคนแคระมุ่งหน้าไป"
205,"コデックス","黄金時代の叡智を求めて",0,99,99,99,,"Codex","코덱스","法典","法典","Codex","โคเด็กซ์",,"Sagesse de l'Âge d'Or","황금시대의 예지를 갈망하며...","追求黄金时代的智慧","追求黃金時代的智慧","Tempat mencari kebijaksanaan masa lampau.","ตามหาภูมิปัญญายุครุ่งเรือง"
206,"暗黒塔","箱イベント専用地形",0,99,99,99,,"Tour des Ténèbres","암흑탑","暗黑塔","暗黑塔","Tower of Darkness","หอคอยแห่งความมืด",,"Salle dédiée aux boîtes à événements","상자이벤트 전용 지형","箱子活动专用地形","箱子活動專用地形","Tempat khusus event Box.","พื้นที่พิเศษสำหรับอีเวนท์กล่อง"
207,"シーラ・サーカス","アコライトイベント専用地形",0,99,99,99,,"Syla Circus","시라 서커스","席拉马戏团","席拉馬戲團","Sheila Circus","ซีล่า เซอร์คัส",,"Région réservée aux Evénements d'Acolytes","어콜라이트의 이벤트 전용 지역","侍者活动专用地形","侍者活動專用地形","Tempat khusus event Acolyte.","พื้นที่พิเศษสำหรับอีเวนท์อโคไลท์"
208,"不気味な湖畔","湖畔に潜むものイベント退避用地形",0,99,99,99,,"Bord d'un lac sinistre","불길한 호반","阴森湖畔","陰森湖畔","Eerie Lake","น่านน้ำประหลาด",,"Terre pour l'évitement d'événement de s'embusquer dans le bord du lac.","호반에 숨어있는 것 이벤트 대피용 지형","潜伏在湖畔的怪物活动避难用地形","潛伏在湖畔的怪物活動避難用地形","Tempat event penyergapan di dalam danau.","พื้นที่สำหรับถอนตัวจากอีเวนท์"
209,"流涕の森","流涕の森イベント退避用地形",0,99,99,99,,"Bord d'un lac sinistre","유체의 숲","幽冥之境","陰森湖畔",,,,"Terre pour l'évitement d'événement de s'embusquer dans le bord du lac.","눈물의 숲 이벤트 대피용 지형","新手专用地区","潛伏在湖畔的怪物活動避難用地形",,
210,"魔女の谷","聖女の館に続く薄暗く不気味な谷。",0,3,1,1,,"Vallée de socière","마녀의 계곡","魔女山谷","魔女山谷","Witch Valley","หมู่บ้านแม่มด",,"La vallée sinistre continu à la château de Vesta.","성녀의 관으로 이어지는 희미하고 어두운 기분 나쁜 계곡.","通往圣女之馆的昏暗阴森山谷。","通往聖女之館的昏暗陰森山谷。","Lembah kegelapan menuju rumah orang suci.","หมู่บ้านประหลาดที่มีแสงสลัว เป็นทางผ่านยังคฤหาสน์สตรีศักดิ์สิทธิ์"
211,"忘失の道","レアカ獲得イベント専用地形A",0,99,99,99,,"Chemin d'Oubli","망각의 길","遗失之道","遺失之道","Path of Oblivion","ถนนแห่งความหลงลืม",,"Terre réservée aux événements d'obtenir Carte rare.","레어 카드를 획득할 수 있는 이벤트 전용 지형A","可获得稀有卡的活动专用地形A","可獲得稀有卡的活動專用地形A","Tempat khusus mendapatkan kartu Rare A.","พื้นที่พิเศษ A สำหรับอีเวนท์แรร์การ์ด"
212,"忘失の道","レアカ獲得イベント専用地形B",0,99,99,99,,"Chemin d'Oubli","망각의 길","遗失之道","遺失之道","Path of Oblivion","ถนนแห่งความหลงลืม",,"Terre réservée aux événements d'obtenir Carte rare.","레어 카드를 획득할 수 있는 이벤트 전용 지형B","可获得稀有卡的活动专用地形B","可獲得稀有卡的活動專用地形B","Tempat khusus mendapatkan kartu Rare B.","พื้นที่พิเศษ B สำหรับอีเวนท์แรร์การ์ด"
213,"忘失の道","レアカ獲得イベント専用地形C",0,99,99,99,,"Chemin d'Oubli","망각의 길","遗失之道","遺失之道","Path of Oblivion","ถนนแห่งความหลงลืม",,"Terre réservée aux événements d'obtenir Carte rare.","레어 카드를 획득할 수 있는 이벤트 전용 지형C","可获得稀有卡的活动专用地形C","可獲得稀有卡的活動專用地形C","Tempat khusus mendapatkan kartu Rare C.","พื้นที่พิเศษ C สำหรับอีเวนท์แรร์การ์ด"
214,"2012XmasLand","クリスマスイベント専用地形",0,99,99,99,"2012XmasLand","2012XmasLand","2012XmasLand","2012Xmas大陆","2012Xmas大陸","2012XmasLand","2012XmasLand","A land for Xmas Event.","Terre réservée aux événements de Noël.","크리스마스 이벤트 전용 지형","圣诞节集会地","聖誕節集會地","Daerah untuk event Natal.","พื้นที่พิเศษสำหรับอีเวนท์คริสมาส"
215,"NewYearLand","宝箱イベント専用地形",0,99,99,99,,"Bonne Année","어린이날 기념 지역","恭贺新禧","NewYear大陸","NewYearLand","อวยพรปีใหม่",,"Terre réservée pour événement de Nouvel an.","보상이벤트 전용 지형","福袋活动专用地形","寶箱活動專用地形","Tempat khusus event Lucky Bag.","พื้นที่พิเศษสำหรับอีเวนท์ถุงนำโชค"
216,"2013WhiteLand","2013ホワイトデーイベント専用地形",0,99,99,99,,"WhiteLand 2013","2013WhiteLand","2013白色大陆","2013白色大陸","2013WhiteLand","2013WhiteLand",,"Terre réservée aux événements du White Day 2013.","2013 화이트데이 이벤트 전용 지형","2013白色情人节活动专用地形","2013白色情人節活動專用地形","Tempat khusus event White Day 2013.","พื้นที่พิเศษสำหรับอีเวนท์ไวท์เดย์ปี 2013"
217,"忘失の道","レアカ獲得イベント専用地形",0,99,99,99,,"Chemin d'Oubli","망각의 길","遗失之道","遺失之道","Path of Oblivion","ถนนแห่งความหลงลืม",,"Terre réservée aux événements d'obtenir Carte rare.","레어 카드를 획득할 수 있는 이벤트 전용 지형","获得稀有卡活动的专用地形","獲得稀有卡活動的專用地形","Tempat khusus mendapatkan kartu Rare.","พื้นที่พิเศษสำหรับอีเวนท์แรร์การ์ด"
218,"雨鳴きの湿原","蛙たちの楽園",0,99,99,99,,"Plaine Marécageuse","습기가 많은 초원","骤雨的湿原","驟雨的濕原",,"บึงพิรุณครวญ",,"Paradis des Grenouilles","개구리들의 낙원","蛙群的乐园","蛙群的樂園",,"สวรรค์ของเหล่ากบ"
300,"断絶の谷","イベントクエスト退避用地形",0,99,99,99,,"Vallée de la Rupture","단절의 골짜기",,"斷絕之谷",,,,"Terre pour refuge la quête d'événement.","이벤트 퀘스트 대피용 지형","活動避難用地形",,,
301,"デバッグエリア","デバッグエリア",0,99,99,99,"Debug area","Debug Area","디버그 지역","debug area","Debug area","Debug Area","ดีบั๊ก แอเรีย",,"Debug Area","디버그 지역","debug","Debug area","Debug area.","Debug Area"
